,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,Mizuno Wave Rebellion Pro,Men's Shoes - White/Silver, $249.95 ," Technologies  MIDSOLEMIZUNO ENERZY LITE is a highly responsive and lightweight foam.MIZUNO ENERZY LITE PLUS top layer foam provides even more rebound and is even more soft than ENERZY LITE.REINFORCED CARBON WAVE PLATE adds stabilization and propulsion.OUTSOLEG3 RUBBER is durable and grippy. UPPERENGINEERED MESH UPPER is thin, race ready, and contains more than 90% recycled content.   ","[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Mizuno_Wave_Rebellion_Pro/descpage-MIWRPM1.html
1,Mizuno Wave Rebellion Flash,Men's Shoes - White/Silver, $159.95 , Technologies  MIDSOLEMIZUNO ENERZY LITE is highly responsive and lightweight.GLASS FIBER REINFORCED WAVE PLATE increases energy return and propulsion. OUTSOLEG3 RUBBER offers long lasting traction.UPPERENGINEERED MESH is breathable and lightweight.  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Mizuno_Wave_Rebellion_Flash/descpage-MIWRFM1.html
2,Mizuno Wave Rider 26,Men's Shoes - Provincial Blue/Nimbus, $114.97 $140.00* ," Technologies  MIDSOLEMIZUNO ENERZY is a more responsive version of U4ic that still delivers a soft, pillowy underfoot feel for cushion upon impact.Mizuno Wave consists of a redesigned elastic, thermal plastic wave running from the heel to the midfoot, creating an incredibly springy and well-cushioned ride.OUTSOLEX10 located in the heel is made of durable carbon rubber for enhanced traction.Blown rubber in the forefoot increases cushioning and responsiveness.Flex Controllers placed in high flex areas on the outsole act as miniature wave plates for increased flexibility and reduced weight.UPPEREco-Friendly Jacquard Mesh that is lightweight comfort and breathability.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Mizuno_Wave_Rider_26/descpage-MR26M07.html
3,Mizuno Wave Rider 26,Men's Shoes - Snorkel Blue/Vapor Gry, $114.97 $140.00* ," Technologies  MIDSOLEMIZUNO ENERZY is a more responsive version of U4ic that still delivers a soft, pillowy underfoot feel for cushion upon impact.Mizuno Wave consists of a redesigned elastic, thermal plastic wave running from the heel to the midfoot, creating an incredibly springy and well-cushioned ride.OUTSOLEX10 located in the heel is made of durable carbon rubber for enhanced traction.Blown rubber in the forefoot increases cushioning and responsiveness.Flex Controllers placed in high flex areas on the outsole act as miniature wave plates for increased flexibility and reduced weight.UPPEREco-Friendly Jacquard Mesh that is lightweight comfort and breathability.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Mizuno_Wave_Rider_26/descpage-MR26M08.html
4,Mizuno Wave Rider 26,Men's Shoes - Ultimate Grey/Neo Lime, $114.97 $140.00* ," Technologies  MIDSOLEMIZUNO ENERZY is a more responsive version of U4ic that still delivers a soft, pillowy underfoot feel for cushion upon impact.Mizuno Wave consists of a redesigned elastic, thermal plastic wave running from the heel to the midfoot, creating an incredibly springy and well-cushioned ride.OUTSOLEX10 located in the heel is made of durable carbon rubber for enhanced traction.Blown rubber in the forefoot increases cushioning and responsiveness.Flex Controllers placed in high flex areas on the outsole act as miniature wave plates for increased flexibility and reduced weight.UPPEREco-Friendly Jacquard Mesh that is lightweight comfort and breathability.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Mizuno_Wave_Rider_26/descpage-MR26M05.html
5,Mizuno Wave Rider 26,Men's Shoes - Super Sonic/Ice Water, $114.97 $140.00* ," Technologies  MIDSOLEMIZUNO ENERZY is a more responsive version of U4ic that still delivers a soft, pillowy underfoot feel for cushion upon impact.Mizuno Wave consists of a redesigned elastic, thermal plastic wave running from the heel to the midfoot, creating an incredibly springy and well-cushioned ride.OUTSOLEX10 located in the heel is made of durable carbon rubber for enhanced traction.Blown rubber in the forefoot increases cushioning and responsiveness.Flex Controllers placed in high flex areas on the outsole act as miniature wave plates for increased flexibility and reduced weight.UPPEREco-Friendly Jacquard Mesh that is lightweight comfort and breathability.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Mizuno_Wave_Rider_26/descpage-MR26M03.html
6,Mizuno Wave Rider 26,Men's Shoes - Snow White, $114.97 $140.00* ," Technologies  MIDSOLEMIZUNO ENERZY is a more responsive version of U4ic that still delivers a soft, pillowy underfoot feel for cushion upon impact.Mizuno Wave consists of a redesigned elastic, thermal plastic wave running from the heel to the midfoot, creating an incredibly springy and well-cushioned ride.OUTSOLEX10 located in the heel is made of durable carbon rubber for enhanced traction.Blown rubber in the forefoot increases cushioning and responsiveness.Flex Controllers placed in high flex areas on the outsole act as miniature wave plates for increased flexibility and reduced weight.UPPEREco-Friendly Jacquard Mesh that is lightweight comfort and breathability.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Mizuno_Wave_Rider_26/descpage-MR26M02.html
7,Mizuno Wave Rider 26,Men's Shoes - Odyssey Grey/Metal Gry, $114.97 $140.00* ," Technologies  MIDSOLEMIZUNO ENERZY is a more responsive version of U4ic that still delivers a soft, pillowy underfoot feel for cushion upon impact.Mizuno Wave consists of a redesigned elastic, thermal plastic wave running from the heel to the midfoot, creating an incredibly springy and well-cushioned ride.OUTSOLEX10 located in the heel is made of durable carbon rubber for enhanced traction.Blown rubber in the forefoot increases cushioning and responsiveness.Flex Controllers placed in high flex areas on the outsole act as miniature wave plates for increased flexibility and reduced weight.UPPEREco-Friendly Jacquard Mesh that is lightweight comfort and breathability.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Mizuno_Wave_Rider_26/descpage-MR26M01.html
8,Mizuno Wave Rider 26,Men's Shoes - Goblin Blue/Vapor Grey, $114.97 $140.00* ," Technologies  MIDSOLEMIZUNO ENERZY is a more responsive version of U4ic that still delivers a soft, pillowy underfoot feel for cushion upon impact.Mizuno Wave consists of a redesigned elastic, thermal plastic wave running from the heel to the midfoot, creating an incredibly springy and well-cushioned ride.OUTSOLEX10 located in the heel is made of durable carbon rubber for enhanced traction.Blown rubber in the forefoot increases cushioning and responsiveness.Flex Controllers placed in high flex areas on the outsole act as miniature wave plates for increased flexibility and reduced weight.UPPEREco-Friendly Jacquard Mesh that is lightweight comfort and breathability.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Mizuno_Wave_Rider_26/descpage-MR26M04.html
9,Mizuno Wave Rider 26,Men's Shoes - SSW Neo Lime/White, $114.97 $140.00* ," Technologies  MIDSOLEMIZUNO ENERZY is a more responsive version of U4ic that still delivers a soft, pillowy underfoot feel for cushion upon impact.Mizuno Wave consists of a redesigned elastic, thermal plastic wave running from the heel to the midfoot, creating an incredibly springy and well-cushioned ride.OUTSOLEX10 located in the heel is made of durable carbon rubber for enhanced traction.Blown rubber in the forefoot increases cushioning and responsiveness.Flex Controllers placed in high flex areas on the outsole act as miniature wave plates for increased flexibility and reduced weight.UPPERStretch Woven Upper that is soft, smooth, and stylish.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Mizuno_Wave_Rider_26/descpage-MR26M06.html
