,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,New Balance Fresh Foam X 1080 v12,Men's Shoes - Workwear, $159.95 ," Technologies  MIDSOLEFresh Foam X delivers plush cushioning for those who want a soft underfoot feel, updated for additional compliance and cushioning.OUTSOLERubber Outsole provides a durable grip and superior rebound.UPPEREngineered Mesh upper is engineered for support and stretch in specified areas for a secure and comfortable fit.No Sew Overlays help to secure the foot while eliminating hot spots and discomfort.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_Fresh_Foam_X_1080_v12/descpage-N120M18.html
1,New Balance Fresh Foam X More v4,Men's Shoes - Aqua/Black, $149.95 , Technologies  MIDSOLEFresh Foam midsole delivers a more energetic rebound and softer cushioning than its predecessor.Flex Grooves ensure a smooth heel-to-toe transition. Rockered Geometry conserves energy and makes running feel easierOUTSOLEGround Contact Foam provides an incredibly light ride.Heel Bevel is designed to aid in shock absorption. UPPEREngineered Mesh offers structure while remaining breathable and flexible.   ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_Fresh_Foam_X_More_v4/descpage-NFFX4M9.html
2,New Balance FuelCell Propel v4,Men's Shoes - Black/Orange, $109.95 , Technologies  MIDSOLEFuelCell foam is a springy and bouncy foam with a touch of softness for comfort.TPU Plate is added to provide a smooth heel-toe transition with a springy returnOUTSOLERubber Outsole offers high level of durability able to last for longer miles UPPEREngineered Synthetic/Mesh upper creates a lightweight and breathable design that is soft to the touch  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_FuelCell_Propel_v4/descpage-NFCP4M2.html
3,New Balance Fresh Foam X More Trail v3,Men's Shoes - Orng, $159.95 , Technologies  MIDSOLEFresh Foam X delivers a soft and bouncy ride and offers excellent impact-absorption.OUTSOLEVibram Eco Step Evo Rubber complete with micro-traction on the lugs for aggressive grip.UPPEREngineered Mesh Upper that features overlays for added protection in high wear areas while remaining breathable.   ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_Fresh_Foam_X_More_Trail_v3/descpage-NBMT3M2.html
4,New Balance FuelCell Rebel v3,Men's Shoes - Pineapple/Blk, $129.95 ," Technologies  MIDSOLEFuelCell is New Balance's most responsive and soft compound to date.OUTSOLENDURANCE rubber is placed strategically in the heel and forefoot for durability while maintaining a light, flexible feel.UPPERThin Engineered Mesh upper delivers a lightweight and breathable design.No Sew overlays virtually illuminate hotspots and irritating seems.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_FuelCell_Rebel_v3/descpage-NBMR3G.html
5,New Balance Fresh Foam X 880 v13,Men's Shoes - Grey/Crims, $139.95 , Technologies  MIDSOLEFresh Foam X offers  plush cushioning for a soft underfoot feel.Bio-Based Materials offers a smaller carbon footprint without sacrificing performance. OUTSOLENDurance Rubber Outsole provides enhanced durability with superior grip.UPPEREngineered Synthetic/Mesh upper is engineered for support and stretch in specified areas for a secure and comfortable fit.Adjustable Laces create the perfect fit.   ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_Fresh_Foam_X_880_v13/descpage-NB813M4.html
6,New Balance FuelCell SuperComp Elite v3,Men's Shoes - Wht, $229.95 ," Technologies  MIDSOLEFuelCell is New Balance's most responsive and softest compound to date.Energy Arc Carbon-Fiber Plate is designed to be more aggressive providing more pop and propulsion during toe-off. OUTSOLERubber outsole offers lightweight traction and adds durability by protecting the soft midsole.UPPEROne-Piece Knit Upper with a built-in tongue, delivers an extremely lightweight and breathable experience.    ","[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_FuelCell_SuperComp_Elite_v3/descpage-NSCE3M1.html
7,New Balance FuelCell SuperComp Elite v3,Men's Shoes - Mnt, $229.95 ," Technologies  MIDSOLEFuelCell is New Balance's most responsive and softest compound to date.Energy Arc Carbon-Fiber Plate is designed to be more aggressive providing more pop and propulsion during toe-off. OUTSOLERubber outsole offers lightweight traction and adds durability by protecting the soft midsole.UPPEROne-Piece Knit Upper with a built-in tongue, delivers an extremely lightweight and breathable experience.    ","[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_FuelCell_SuperComp_Elite_v3/descpage-NSCE3M2.html
8,New Balance FuelCell RC Elite,Men's Shoes - Yellow/Bl, $114.88 $224.99* , Technologies  MIDSOLEFuelCell midsole is tuned to offer a soft yet springy ride.Multi-directional Carbon Fiber Plate is designed to flex at initial contact and then stiffen for propulsion at toe-off.OUTSOLEDynaride offers lightweight traction and adds durability by protecting the soft midsole.UPPERSynthetic Mesh upper delivers an extremely lightweight and breathable design.    ,[],[],https://www.runningwarehouse.com/New_Balance_FuelCell_RC_Elite/descpage-NBMRE.html
9,New Balance FuelCell SuperComp Trainer,Men's Shoes - Blk, $179.95 , Technologies  MIDSOLEFuelCell midsole foam is soft and responsiveEnergy Arc is a carbon fiber plate that runs the length of the shoe for energy conservation and propulsionOUTSOLERubber outsole offers lightweight traction and adds durability by protecting the soft midsole.UPPERKnit upper delivers an extremely lightweight and breathable design.    ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_FuelCell_SuperComp_Trainer/descpage-NBMTSC5.html
10,New Balance FuelCell SuperComp Trainer,Men's Shoes - Rain, $179.95 , Technologies  MIDSOLEFuelCell midsole foam is soft and responsiveEnergy Arc is a carbon fiber plate that runs the length of the shoe for energy conservation and propulsionOUTSOLERubber outsole offers lightweight traction and adds durability by protecting the soft midsole.UPPERKnit upper delivers an extremely lightweight and breathable design.    ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_FuelCell_SuperComp_Trainer/descpage-NBMTSC3.html
11,New Balance FuelCell SuperComp Trainer,Men's Shoes - Red, $179.95 , Technologies  MIDSOLEFuelCell midsole foam is soft and responsiveEnergy Arc is a carbon fiber plate that runs the length of the shoe for energy conservation and propulsionOUTSOLERubber outsole offers lightweight traction and adds durability by protecting the soft midsole.UPPERKnit upper delivers an extremely lightweight and breathable design.    ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_FuelCell_SuperComp_Trainer/descpage-NBMTSC4.html
12,New Balance FuelCell SuperComp Trainer,Men's Shoes - Glo, $179.95 , Technologies  MIDSOLEFuelCell midsole foam is soft and responsiveEnergy Arc is a carbon fiber plate that runs the length of the shoe for energy conservation and propulsionOUTSOLERubber outsole offers lightweight traction and adds durability by protecting the soft midsole.UPPERKnit upper delivers an extremely lightweight and breathable design.    ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_FuelCell_SuperComp_Trainer/descpage-NBMTSC1.html
