,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,PUMA Deviate Nitro Elite 2,Men's Shoes - Lime/Royal/Black, $200.00 , Technologies  MIDSOLE NITRO Elite delivers premium foam technology that is lightweight and ultra-responsive. PWRPLATE is a carbon fiber plate designed for maximum energy return and optimized running efficiency.  OUTSOLE PUMAGRIP rubber offers durable traction on any surface. UPPER MONO-MESH provides lightweight and breathable race fit.   ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_Deviate_Nitro_Elite_2/descpage-PDNE2M1.html
1,PUMA Deviate Nitro Elite 2,Men's Shoes - Run 75 White/Blk, $200.00 , Technologies  MIDSOLE NITRO Elite delivers premium foam technology that is lightweight and ultra-responsive. PWRPLATE is a carbon fiber plate designed for maximum energy return and optimized running efficiency.  OUTSOLE PUMAGRIP rubber offers durable traction on any surface. UPPER MONO-MESH provides lightweight and breathable race fit.   ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_Deviate_Nitro_Elite_2/descpage-PDNE2M2.html
2,PUMA Fast-R Nitro Elite,Men's Shoes - Elektrocharged, $250.00 , Technologies  MIDSOLENITRO ELITE foam is highly responsive and extremely lightweight.PWRPLATE is a carbon fiber running plate designed to provide support and power for higher efficiency. OUTSOLEPUMAGRIP rubber continues to provide unrivaled grip and traction on the course or track.UPPERPWRTAPE reinforcements are strategically placed in high pressure areas for necessary support while keeping weight to a minimum.Heel Fin provides the needed structure and support in the heel without being intrusive.  ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_Fast-R_Nitro_Elite/descpage-PFRNEM1.html
3,PUMA Deviate Nitro 2,Men's Shoes - Black/Deep Aqua/Lime, $160.00 , Technologies  MIDSOLE NITRO foam is a nitrogen infused foam designed to provide responsive cushioning in a lightweight package. NITRO Elite foam is extremely lightweight and delivers high rebound.  PWRPLATE is an engineered carbon plate that stabilizes the midsole while maximizing energy transfer. OUTSOLE PUMAGRIP ATR is a multi-terrain rubber that is more durable for harsh elements and terrain. UPPER Mesh Upper is well-fitting and highly breathable. PWRTAPE overlays provide upper support and durability.   ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_Deviate_Nitro_2/descpage-PUDN2M2.html
4,PUMA Deviate Nitro 2,Men's Shoes - Royal/Elektro Purple, $160.00 , Technologies  MIDSOLE NITRO foam is a nitrogen infused foam designed to provide responsive cushioning in a lightweight package. NITRO Elite foam is extremely lightweight and delivers high rebound.  PWRPLATE is an engineered carbon plate that stabilizes the midsole while maximizing energy transfer. OUTSOLE PUMAGRIP ATR is a multi-terrain rubber that is more durable for harsh elements and terrain. UPPER Mesh Upper is well-fitting and highly breathable. PWRTAPE overlays provide upper support and durability.   ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_Deviate_Nitro_2/descpage-PUDN2M3.html
5,PUMA Deviate Nitro 2,Men's Shoes - Sunset Glow/Sun/Black, $160.00 , Technologies  MIDSOLE NITRO foam is a nitrogen infused foam designed to provide responsive cushioning in a lightweight package. NITRO Elite foam is extremely lightweight and delivers high rebound.  PWRPLATE is an engineered carbon plate that stabilizes the midsole while maximizing energy transfer. OUTSOLE PUMAGRIP ATR is a multi-terrain rubber that is more durable for harsh elements and terrain. UPPER Mesh Upper is well-fitting and highly breathable. PWRTAPE overlays provide upper support and durability.   ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_Deviate_Nitro_2/descpage-PUDN2M1.html
6,PUMA Fast-FWD Nitro Elite,Men's Shoes - Royal/Black/Silv, $220.00 ," Technologies  MIDSOLENITRO Elite foam delivers ultra-responsiveness in a lightweight and soft package.PWRPLATE is powered by carbon to offer a highly explosive and efficient ride.Pebax Insole for soft-step in cushioning.OUTSOLEPUMAGRIP Rubber is thin but offers excellent traction.UPPERMono Mesh is thin, breathable, and lightweight.PWRTAPE provides perfect amount of structure without compromising weight.  ","[<div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_Fast-FWD_Nitro_Elite/descpage-PUFNEM1.html
7,PUMA Magnify Nitro,Men's Shoes - Evening Sky/Sun Stream, $140.00 , Technologies  MIDSOLE Nitro Foam is PUMA's advanced technology providing superior responsiveness and cushioning in a lightweight package. ProFoam is lightweight EVA for instant cushioning. OUTSOLE PUMAGRIP provides outstanding grip and durability. UPPER Engineered Mesh upper offers support and stretch for a secure and comfortable fit    ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_Magnify_Nitro/descpage-PUMNM1.html
8,PUMA ForeverRun Nitro,Men's Shoes - Futrograde White, $150.00 ," Technologies  MIDSOLE Dual Layer Nitro Foam is a supercritical TPEE based foam that provides soft and lightweight cushioning.  OUTSOLE PUMAGRIP rubber provides premium, long-lasting traction.   UPPER Engineered Mesh for soft and breathable fit. PWRTAPE overlays provide lightweight support around the upper.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Min</div>, <div class=""col is-active"">Mod</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_ForeverRun_Nitro/descpage-PUFONM6.html
9,PUMA ForeverRun Nitro,Men's Shoes - Futrograde Black, $150.00 ," Technologies  MIDSOLE Dual Layer Nitro Foam is a supercritical TPEE based foam that provides soft and lightweight cushioning.  OUTSOLE PUMAGRIP rubber provides premium, long-lasting traction.   UPPER Engineered Mesh for soft and breathable fit. PWRTAPE overlays provide lightweight support around the upper.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Min</div>, <div class=""col is-active"">Mod</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_ForeverRun_Nitro/descpage-PUFONM5.html
