,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,Saucony Peregrine 13,Men's Shoes - Arroyo, $98.00 $140.00* , Technologies  MIDSOLEPWRRUN cushioning ensures a responsive yet protective feel.OUTSOLEPWRTRAC is a tacky rubber compound that offers significantly more traction than traditional rubber. 5.0mm Lugs provides additional traction and adaptable to changing trail conditions.Rock plate protects your feet from sharp trail objects.UPPERUpdated reinforced upper helps protect feet from trail debris.   ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUHIKE"">Hiking</i><span>Hiking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Peregrine_13/descpage-SPE13M5.html
1,Saucony Endorphin Speed 3,Men's Shoes - Red Poppy, $169.95 , Technologies  MIDSOLEPWRRUN PB is an ultralight foam that provides an extremely bouncy running experience.S-Curve Nylon Plate keeps your momentum going with a semi-rigid design that provides snappy transitions.SPEEDROLL is an always forward geometry that creates a lively rolling feel underfoot.OUTSOLEXT 900 Rubber is placed strategically to increase traction and durability while keeping weight to a minimum.UPPERFORMFIT mesh upper was inspired by Saucony's track spikes to stretch and adapt for the ultimate light and unrestrained feeling.Heel Support Frame supports the heel through the gait cycle.  ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Endorphin_Speed_3/descpage-SES3M09.html
2,Saucony Tempus,Men's Shoes - Hydro/Poppy, $112.00 $160.00* ," Technologies  MIDSOLEPWRRUN PB is an ultralight PeBa-based foam that provides an extremely bouncy running experience.Contoured PWRRUN Frame starts above the midsole to support the foot upon landing, and gives a snappy toe-off.OUTSOLEXT-900 Carbon Rubber is placed strategically to increase traction and durability while keeping weight to a minimum.UPPERFORMFIT mesh upper was inspired by Saucony's track spikes to stretch and adapt for the ultimate light and unrestrained feeling.Heel Support Frame supports the heel through the gait cycle.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Min</div>, <div class=""col is-active"">Mod</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Tempus/descpage-STP1M11.html
3,Saucony Ride 16,Men's Shoes - Marigold/Lava, $139.95 , Technologies  MIDSOLEPWRRUN foam is a soft and lively foam with excellent durability and a touch of softness.OUTSOLEStrategically Blown Rubber is Saucony's rubber outsole that is placed in high wear areas for high levels of traction.UPPERPWRRUN+ sockliner provides a soft and strong heel lockdown.Updated Engineered Mesh creates a cool and breathable upper.  ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Ride_16/descpage-SR16M04.html
4,Saucony Kinvara 14,Men's Shoes - Agave/Lava, $119.95 ," Technologies  MIDSOLEPWRRUN foam is  a lightweight foam that offers comfort, rebound, and durability.PWRRUN+ is additional form that provides a lightweight and springy underfoot feel.OUTSOLEStrategic Rubber is place in forefoot and heel to offer added durability in high wear areas.UPPERUpdated Engineered mesh streamlined upper material that creates a lightweight and breathable construction  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Kinvara_14/descpage-SK14M04.html
5,Saucony Xodus Ultra 2,Men's Shoes - Black/VIZI Orange, $149.95 ," Technologies  MIDSOLEPWRRUN PB foam which offers a lightweight cushioning and a responsive underfoot experience.PWRRUN cage to provide stability through the gait cycle.OUTSOLE3-Piece PWRTRAC is a tacky rubber compound that offers stronger traction than traditional rubber, shaped to adapt to a variety of terrain.UPPEREngineered mesh upper for added support and comfort while maintaining breathability.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUHIKE"">Hiking</i><span>Hiking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Xodus_Ultra_2/descpage-SXOU2M1.html
6,Saucony Endorphin Elite,Men's Shoes - Mars, $274.95 ," Technologies  MIDSOLEPWWRUN HG foam is bouncy, lively, and lightweight. Carbon-Fiber Plate is forked and works with the foam to deliver a poppy ride.OUTSOLERubber is thin and strategically placed to keep weight down without compromising traction.UPPERKnit Mesh is lightweight, breathable, and secure.Midfoot Lacing Structure offers a highly secure and comfortable fit.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Endorphin_Elite/descpage-SAEEM2.html
7,Saucony Endorphin Elite,Men's Shoes - Slime, $274.95 ," Technologies  MIDSOLEPWWRUN HG foam is bouncy, lively, and lightweight. Carbon-Fiber Plate is forked and works with the foam to deliver a poppy ride.OUTSOLERubber is thin and strategically placed to keep weight down without compromising traction.UPPERKnit Mesh is lightweight, breathable, and secure.Midfoot Lacing Structure offers a highly secure and comfortable fit.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Endorphin_Elite/descpage-SAEEM1.html
8,Saucony Endorphin Pro 3,Men's Shoes - Invader, $224.95 , Technologies  MIDSOLEPWRRUN PB is an ultralight foam that provides an extremely bouncy running experience.S-Curve Carbon Fiber Plate works with the PWRRUN PB to reduce fatigue while running at top speeds.SPEEDROLL is an always forward geometry that creates a lively rolling feel underfoot.OUTSOLECarbon Rubber is placed strategically to increase traction and durability while keeping weight to a minimum.UPPERFORMFIT Mesh Upper is lightweight and breathable  ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Endorphin_Pro_3/descpage-SEP3M08.html
9,Saucony Endorphin Pro 3,Men's Shoes - Red Poppy, $224.95 , Technologies  MIDSOLEPWRRUN PB is an ultralight foam that provides an extremely bouncy running experience.S-Curve Carbon Fiber Plate works with the PWRRUN PB to reduce fatigue while running at top speeds.SPEEDROLL is an always forward geometry that creates a lively rolling feel underfoot.OUTSOLECarbon Rubber is placed strategically to increase traction and durability while keeping weight to a minimum.UPPERFORMFIT Mesh Upper is lightweight and breathable  ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Endorphin_Pro_3/descpage-SEP3M06.html
10,Saucony Endorphin Pro 3,Men's Shoes - Prospect Quartz, $224.95 , Technologies  MIDSOLEPWRRUN PB is an ultralight foam that provides an extremely bouncy running experience.S-Curve Carbon Fiber Plate works with the PWRRUN PB to reduce fatigue while running at top speeds.SPEEDROLL is an always forward geometry that creates a lively rolling feel underfoot.OUTSOLECarbon Rubber is placed strategically to increase traction and durability while keeping weight to a minimum.UPPERFORMFIT Mesh Upper is lightweight and breathable  ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Endorphin_Pro_3/descpage-SEP3M01.html
11,Saucony Endorphin Pro 3,Men's Shoes - Black/Goldstruck, $224.95 , Technologies  MIDSOLEPWRRUN PB is an ultralight foam that provides an extremely bouncy running experience.S-Curve Carbon Fiber Plate works with the PWRRUN PB to reduce fatigue while running at top speeds.SPEEDROLL is an always forward geometry that creates a lively rolling feel underfoot.OUTSOLECarbon Rubber is placed strategically to increase traction and durability while keeping weight to a minimum.UPPERFORMFIT Mesh Upper is lightweight and breathable  ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Endorphin_Pro_3/descpage-SEP3M03.html
12,Saucony Endorphin Pro 3,Men's Shoes - Night Lite, $224.95 , Technologies  MIDSOLEPWRRUN PB is an ultralight foam that provides an extremely bouncy running experience.S-Curve Carbon Fiber Plate works with the PWRRUN PB to reduce fatigue while running at top speeds.SPEEDROLL is an always forward geometry that creates a lively rolling feel underfoot.OUTSOLECarbon Rubber is placed strategically to increase traction and durability while keeping weight to a minimum.UPPERFORMFIT Mesh Upper is lightweight and breathable  ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Endorphin_Pro_3/descpage-SEP3M04.html
