,title,brand,model,price,discount,discount_%,sex,colour,cushioning,stability,best_use_surface,midsole,outsole,upper,link_shoes
0,adidas adizero Prime X Strung,adidas,adizero Prime X Strung,299.95,0.0,0.0,unisex, Pulse Mint,Maximal,Neutral,"Fast Runs,Cushioned Comfort,Racing,Roads and Pavement",Lightstrike Profoam compound offers high rebound and lightweight cushioning.Carbon EnergyRods are embedded in the midsole foam and provide natural foot movement along with an energetic transition through the gait cycle.Carbon EnergyBlades in the forefoot and under the EnergyRods allow for a more stable landing.Carbon Heel Plate optimizes energy return and stability.,Continental Rubber offers flexible durability and excellent traction.,One-Piece Strung Upperis engineered using innovative technology to provide a snug yet comfortable fit.  ,https://www.runningwarehouse.com/adidas_adizero_Prime_X_Strung/descpage-AAPXM04.html
1,adidas adizero Adios Pro 3,adidas,adizero Adios Pro 3,250.0,175.0,70.0,unisex, White Tint/Blk,High,Neutral,"Racing,Roads and Pavement",LightstrikePROis a lightweight midsole compound that offers a bouncier and lighter cushioning than its predecessors.Carbon EnergyRods 2.0 extends the length of the shoe for a smooth and speedy transition at toe-off.,Rubberin the forefootoffers flexible durability while keeping weight to a minimum.Rubberin the heel provides durable traction and midsole from wear.,"Single-Layer Celermeshis lightweight, breathable, and supportive.Heel PullTab improves entry to the shoe.Added Overlays in heel and forefoot to improve fit and lockdown  ",https://www.runningwarehouse.com/adidas_adizero_Adios_Pro_3/descpage-AAP3U5.html
2,adidas adizero Adios Pro 3,adidas,adizero Adios Pro 3,250.0,175.0,70.0,unisex, Pulse Mint/Blk,High,Neutral,"Racing,Roads and Pavement",LightstrikePROis a lightweight midsole compound that offers a bouncier and lighter cushioning than its predecessors.Carbon EnergyRods 2.0 extends the length of the shoe for a smooth and speedy transition at toe-off.,Rubberin the forefootoffers flexible durability while keeping weight to a minimum.Rubberin the heel provides durable traction and midsole from wear.,"Single-Layer Celermeshis lightweight, breathable, and supportive.Heel PullTab improves entry to the shoe.Added Overlays in heel and forefoot to improve fit and lockdown  ",https://www.runningwarehouse.com/adidas_adizero_Adios_Pro_3/descpage-AAP3U4.html
3,adidas adizero Adios Pro 3,adidas,adizero Adios Pro 3,250.0,175.0,70.0,unisex, Solar Red/Metal,High,Neutral,"Racing,Roads and Pavement",LightstrikePROis a lightweight midsole compound that offers a bouncier and lighter cushioning than its predecessors.Carbon EnergyRods 2.0 extends the length of the shoe for a smooth and speedy transition at toe-off.,Rubberin the forefootoffers flexible durability while keeping weight to a minimum.Rubberin the heel provides durable traction and midsole from wear.,"Single-Layer Celermeshis lightweight, breathable, and supportive.Heel PullTab improves entry to the shoe.Added Overlays in heel and forefoot to improve fit and lockdown  ",https://www.runningwarehouse.com/adidas_adizero_Adios_Pro_3/descpage-AAP3U6.html
4,adidas adizero Takumi Sen 9,adidas,adizero Takumi Sen 9,179.95,0.0,0.0,unisex, Pulse Mint,Medium,Neutral,"Racing,Roads and Pavement",Lightstrike Prois a lightweight midsole compound that provides the perfect balance between cushion and energy return.Glass Fiber EnergyRodsin the forefoot delivers a smooth and speedy transition at toe-off.,Continental Rubberin the forefootoffers maximum grip.,"Primegreenmesh is lightweight, breathable, and supportive.  ",https://www.runningwarehouse.com/adidas_adizero_Takumi_Sen_9/descpage-AATS9U1.html
5,adidas adizero Takumi Sen 9,adidas,adizero Takumi Sen 9,179.95,0.0,0.0,unisex, Core Black/Met,Medium,Neutral,"Racing,Roads and Pavement",Lightstrike Prois a lightweight midsole compound that provides the perfect balance between cushion and energy return.Glass Fiber EnergyRodsin the forefoot delivers a smooth and speedy transition at toe-off.,Continental Rubberin the forefootoffers maximum grip.,"Primegreenmesh is lightweight, breathable, and supportive.  ",https://www.runningwarehouse.com/adidas_adizero_Takumi_Sen_9/descpage-AATS9U2.html
6,adidas adizero Takumi Sen 9,adidas,adizero Takumi Sen 9,179.95,0.0,0.0,unisex, Solar Red,Medium,Neutral,"Racing,Roads and Pavement",Lightstrike Prois a lightweight midsole compound that provides the perfect balance between cushion and energy return.Glass Fiber EnergyRodsin the forefoot delivers a smooth and speedy transition at toe-off.,Continental Rubberin the forefootoffers maximum grip.,"Primegreenmesh is lightweight, breathable, and supportive.  ",https://www.runningwarehouse.com/adidas_adizero_Takumi_Sen_9/descpage-AATS9U4.html
7,adidas adizero Boston 11,adidas,adizero Boston 11,160.0,127.95,79.97,Men's Shoes , White/Black/Blue,High,Neutral,"All Around,Fast Runs,Roads and Pavement",LightStrike Prois a lightweight midsole compound that offers a bouncier and lighter cushioning than its predecessors.LightStrikeis a lightweight midsole compound that adds responsiveness.Energy Rodsin the forefoot allow for a smooth and speedy transition at toe-off.,Continental Rubberoffers flexible durability while keeping weight to a minimum.,Lightweight Meshis breathable and supportive.  ,https://www.runningwarehouse.com/adidas_adizero_Boston_11/descpage-AAB11M8.html
8,adidas adizero Boston 11,adidas,adizero Boston 11,160.0,127.95,79.97,Men's Shoes , Pulse Mint/White,High,Neutral,"All Around,Fast Runs,Roads and Pavement",LightStrike Prois a lightweight midsole compound that offers a bouncier and lighter cushioning than its predecessors.LightStrikeis a lightweight midsole compound that adds responsiveness.Energy Rodsin the forefoot allow for a smooth and speedy transition at toe-off.,Continental Rubberoffers flexible durability while keeping weight to a minimum.,Lightweight Meshis breathable and supportive.  ,https://www.runningwarehouse.com/adidas_adizero_Boston_11/descpage-AAB11M7.html
9,adidas adizero Boston 11,adidas,adizero Boston 11,160.0,127.95,79.97,Men's Shoes , Black/White/Carbon,High,Neutral,"All Around,Fast Runs,Roads and Pavement",LightStrike Prois a lightweight midsole compound that offers a bouncier and lighter cushioning than its predecessors.LightStrikeis a lightweight midsole compound that adds responsiveness.Energy Rodsin the forefoot allow for a smooth and speedy transition at toe-off.,Continental Rubberoffers flexible durability while keeping weight to a minimum.,Lightweight Meshis breathable and supportive.  ,https://www.runningwarehouse.com/adidas_adizero_Boston_11/descpage-AAB11M6.html
10,adidas Adizero SL,adidas,Adizero SL,120.0,95.95,79.96,Men's Shoes , Solar Red/Ink/Blue,High,Neutral,"All Around,Roads and Pavement",LIGHTSTRIKEfoam provides comfortably soft and lightweight cushioning.LIGHTSTRIKE PRO foam in the forefoot provides a little extra oomph and propulsion at toe-off.,STRATEGICALLY PLACED RUBBER for optimized grip and weight reduction.,ENGINEERED MESH that is soft and adaptable with zoning in the forefoot for structure.  ,https://www.runningwarehouse.com/adidas_Adizero_SL/descpage-ADASLM3.html
11,adidas Adizero SL,adidas,Adizero SL,120.0,95.95,79.96,Men's Shoes , Ftwr White/Blue/Fuchsia,High,Neutral,"All Around,Roads and Pavement",LIGHTSTRIKEfoam provides comfortably soft and lightweight cushioning.LIGHTSTRIKE PRO foam in the forefoot provides a little extra oomph and propulsion at toe-off.,STRATEGICALLY PLACED RUBBER for optimized grip and weight reduction.,ENGINEERED MESH that is soft and adaptable with zoning in the forefoot for structure.  ,https://www.runningwarehouse.com/adidas_Adizero_SL/descpage-ADASLM1.html
12,adidas adizero Adios 7,adidas,adizero Adios 7,130.0,104.0,80.0,Men's Shoes , White/Black/Min,Medium,Neutral,"Fast Runs,Racing,Roads and Pavement",Lightstrike Prois a lightweight midsole compound that offers a bouncier and lighter cushioning than its predecessors.Lightstrikeis a lightweight midsole compound that adds responsiveness.Torsion Systemuses a thermoplastic unit in the midfoot that reduces energy-sapping movement in your stride.,Continental Rubber Outsolein the forefoot offers increased traction in dry and wet conditions.,Lightweight Open Meshthroughout provides breathability and race-ready fit.  ,https://www.runningwarehouse.com/adidas_adizero_Adios_7/descpage-AAA7M05.html
13,adidas adizero RC 5,adidas,adizero RC 5,99.95,0.0,0.0,unisex, Solar Red/White/Coral,Minimal,Neutral,"Fast Runs,Roads and Pavement",Lightstrikeis a lightweight and responsive midsole foam.TORSIONROD Technology uses thermoplastic rods in the midfoot that adds snappy responsiveness.,"Stretchweb Outsolemaintains flexibility while reducing weight.Blown Rubberin the forefootoffers increased traction and durability while keeping weight to a minimum.AdiWear in the heel is a non-marking carbon rubber for durable, improved traction.",Updated Mesh upper is simplified design while still providing a locked-down fit and breathability.  ,https://www.runningwarehouse.com/adidas_adizero_RC_5/descpage-AARC5U2.html
14,adidas Ultraboost Light,adidas,Ultraboost Light,190.0,154.0,81.05,Men's Shoes , White/Black/Red,Low,Neutral,"All Around,Roads and Pavement",BOOST LIGHTis 30% lighter than original boost foam and has 4% more energy return creating a plush and responsive underfoot experience,CONTINENTAL NATURAL RUBBERis a performance rubber for superior traction and durability that is bio-friendly.,PRIMEKNIT+ high-performance upper made out of recycled materials (50% recycled polyester and 50% Parley Ocean Plastic).FORGE 2.0 Technology creates a secure lockdown while will aiding in a flexible width of the shoe.  ,https://www.runningwarehouse.com/adidas_Ultraboost_Light/descpage-AUB23M1.html
15,adidas Ultraboost Light,adidas,Ultraboost Light,189.95,0.0,0.0,Men's Shoes , Lucid Blue/Coral/Bl,Low,Neutral,"All Around,Roads and Pavement",BOOST LIGHTis 30% lighter than original boost foam and has 4% more energy return creating a plush and responsive underfoot experience,CONTINENTAL NATURAL RUBBERis a performance rubber for superior traction and durability that is bio-friendly.,PRIMEKNIT+ high-performance upper made out of recycled materials (50% recycled polyester and 50% Parley Ocean Plastic).FORGE 2.0 Technology creates a secure lockdown while will aiding in a flexible width of the shoe.  ,https://www.runningwarehouse.com/adidas_Ultraboost_Light/descpage-AUB23M2.html
16,adidas Ultraboost Light,adidas,Ultraboost Light,190.0,154.0,81.05,Men's Shoes , Carbon/Blue Dawn/Gr,Low,Neutral,"All Around,Roads and Pavement",BOOST LIGHTis 30% lighter than original boost foam and has 4% more energy return creating a plush and responsive underfoot experience,CONTINENTAL NATURAL RUBBERis a performance rubber for superior traction and durability that is bio-friendly.,PRIMEKNIT+ high-performance upper made out of recycled materials (50% recycled polyester and 50% Parley Ocean Plastic).FORGE 2.0 Technology creates a secure lockdown while will aiding in a flexible width of the shoe.  ,https://www.runningwarehouse.com/adidas_Ultraboost_Light/descpage-AUB23M3.html
17,adidas Ultraboost Light,adidas,Ultraboost Light,190.0,154.0,81.05,Men's Shoes , Black,Low,Neutral,"All Around,Roads and Pavement",BOOST LIGHTis 30% lighter than original boost foam and has 4% more energy return creating a plush and responsive underfoot experience,CONTINENTAL NATURAL RUBBERis a performance rubber for superior traction and durability that is bio-friendly.,PRIMEKNIT+ high-performance upper made out of recycled materials (50% recycled polyester and 50% Parley Ocean Plastic).FORGE 2.0 Technology creates a secure lockdown while will aiding in a flexible width of the shoe.  ,https://www.runningwarehouse.com/adidas_Ultraboost_Light/descpage-AUB23M5.html
18,adidas Terrex Speed Ultra,adidas,Terrex Speed Ultra,160.0,127.95,79.97,Men's Shoes , Orange/White/Blk,Medium,Neutral,"Fast Runs,Racing,Smooth Trails and Fireroads",Lightstrikeis a lightweight midsole compound that adds responsiveness.Boostfor temperature-independent and maximum energy return in all climates.Rocker Geometry for efficient strides and faster leg turnover.,Continental Rubber Outsolein the forefoot offers increased traction in both dry and wet conditions.,"Durable Engineered Mesh is lightweight, breathable, and supportive while also having great drainage features.  ",https://www.runningwarehouse.com/adidas_Terrex_Speed_Ultra/descpage-ATSUM03.html
