,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,ASICS Gel Nimbus 25,Women's Shoes - White/White, $159.95 , Technologies  MIDSOLEFLYTEFOAM BLAST PLUS ECO offers a more responsive and overall protective underfoot experience.Rearfoot Pure GEL Cushioning System uses a silicone-based gel for responsive shock absorption on impact.TRUSSTIC technology improves stability. OUTSOLEASICS LITE Rubber is added for exceptional durability and a lightweight construction.ASICS HIGH Abrasion Rubber is placed in critical areas of the outsole for exceptional durability.UPPEREngineered Knit Mesh upper provides a soft and breathable construction.Ortholite X-55 sockliner provides a premium step-in feel.Knit Tongue construction extends around the ankle for a luxurious feel and protection.Pull Tab makes getting the shoe on and off easy.  ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/ASICS_Gel_Nimbus_25/descpage-AN25W13.html
1,ASICS Gel Cumulus 25,Women's Shoes - Indigo Blue/Sky, $139.95 , Technologies  MIDSOLEFLYTEFOAM BLAST PLUS delivers responsive propulsion and soft cushioning that is lighter than traditional midsole foams and offers increased shock absorption.PURE GEL Cushioning System uses a silicone-based gel for responsive shock absorption on impact.OUTSOLEAHAR Outsole Rubber Full ground contact rubber providing enhance traction to road surfaces.UPPERRecycled Mesh Upper supports the foot while remaining highly breathable and reducing carbon emissions.OrthoLite™ X-30 sockliner is a heel liner offering soft step-in comfort.  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/ASICS_Gel_Cumulus_25/descpage-AC25W03.html
2,ASICS Novablast 3,Women's Shoes - Nagino, $144.95 ," Technologies  MIDSOLEFLYTEFOAM BLAST PLUS is a lightweight midsole foam that delivers responsive propulsion and a soft landing. OUTSOLEAHAR rubber outsole has twice the abrasion resistance of ASICS traditional outsole rubber for improved durability and traction.UPPERTongue Wing fit improves midfoot fit and reduces tongue slidingJacquard Mesh Upper supports the foot while remaining highly breathable for a fast, premium running experience.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/ASICS_Novablast_3/descpage-ANB3W12.html
3,ASICS SUPERBLAST,Unisex Shoes - Cream/Mineral Beige, $199.95 ," Technologies  MIDSOLEFLYTEFOAM Blast Turbo is ASICS' most advanced midsole material for increased energy return and responsiveness.FLYTEFOAM Blast Plus underneath the top layer of FF Blast Turbo provides additional protection, structure, and cushioning.OUTSOLEAHARPLUS is a lightweight and abrasion resistant rubber that is approximately three times higher in resistance than ASICS' conventional rubber.UPPERJacquard Woven Material on the upper provides strength and breathability.  ","[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/ASICS_SUPERBLAST/descpage-ASSBU1.html
4,ASICS Noosa Tri 14,Women's Shoes - Orange Pop/Coral, $89.00 $130.00* ," Technologies  MIDSOLEFLYTEFOAM midsole provides lightweight and durable cushioning that is also environmentally friendlyGUIDESOLE technology offers an efficient ride by combining a rockered sole with a stiff forefootOUTSOLEGrip Sole Outsole is durable and slip-resistantUPPEREngineered Mesh Upper supports the foot while remaining highly breathable for a fast, premium running experience  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/ASICS_Noosa_Tri_14/descpage-AGNTW7.html
5,ASICS Gel Kayano 29,Women's Shoes - Lite-Show, $109.95 $170.00* ," Technologies  MIDSOLERearfoot Gel cushioning system uses a silicone-based gel for responsive shock absorption on impact.Flytefoam Blast Plus provides lightweight and durable cushioning that is also environmentally friendly.Dynamic DuoMax Support System reduces over pronation by controlling the movement of the foot, leading to a smoother heel-to-toe transition.Space Trusstic reduces the weight of the sole while providing stability and retaining the structural integrity of the shoe.Gender-Specific Trusstic is tuned to Men's and Women's specific biomechanical needs, giving each of them the protection, and smooth ride they need.LITETRUSS design creates a smooth and balanced heel-to-toe transition.OUTSOLEASICS High Abrasion Rubber (AHAR) is placed in critical areas for added durability and traction.UPPEREngineered mesh comprises the upper, providing lightweight breathability allowing the foot to move naturally while maintaining structure.External Heel Clutch uses an exoskeletal structure that wraps the heel for a secure fit, with a new X-shaped structure lined with memory foam for a personalized fit.EVA Sockliner provides added cushioning.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Max</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/ASICS_Gel_Kayano_29/descpage-AK29W13.html
6,ASICS Novablast 3,Women's Shoes - Fawn/Mineral Beige, $139.95 ," Technologies  MIDSOLEFLYTEFOAM BLAST PLUS is a lightweight midsole foam that delivers responsive propulsion and a soft landing. OUTSOLEAHAR rubber outsole has twice the abrasion resistance of ASICS traditional outsole rubber for improved durability and traction.UPPERTongue Wing fit improves midfoot fit and reduces tongue slidingJacquard Mesh Upper supports the foot while remaining highly breathable for a fast, premium running experience.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/ASICS_Novablast_3/descpage-ANB3W07.html
7,ASICS Novablast 3,Women's Shoes - Cream/Fawn, $139.95 ," Technologies  MIDSOLEFLYTEFOAM BLAST PLUS is a lightweight midsole foam that delivers responsive propulsion and a soft landing. OUTSOLEAHAR rubber outsole has twice the abrasion resistance of ASICS traditional outsole rubber for improved durability and traction.UPPERTongue Wing fit improves midfoot fit and reduces tongue slidingJacquard Mesh Upper supports the foot while remaining highly breathable for a fast, premium running experience.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/ASICS_Novablast_3/descpage-ANB3W06.html
8,ASICS Novablast 3,Women's Shoes - Papaya/Dusty Purple, $139.95 ," Technologies  MIDSOLEFLYTEFOAM BLAST PLUS is a lightweight midsole foam that delivers responsive propulsion and a soft landing. OUTSOLEAHAR rubber outsole has twice the abrasion resistance of ASICS traditional outsole rubber for improved durability and traction.UPPERTongue Wing fit improves midfoot fit and reduces tongue slidingJacquard Mesh Upper supports the foot while remaining highly breathable for a fast, premium running experience.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/ASICS_Novablast_3/descpage-ANB3W09.html
9,ASICS Novablast 3,Women's Shoes - Metropolis/Dusk Violet, $139.95 ," Technologies  MIDSOLEFLYTEFOAM BLAST PLUS is a lightweight midsole foam that delivers responsive propulsion and a soft landing. OUTSOLEAHAR rubber outsole has twice the abrasion resistance of ASICS traditional outsole rubber for improved durability and traction.UPPERTongue Wing fit improves midfoot fit and reduces tongue slidingJacquard Mesh Upper supports the foot while remaining highly breathable for a fast, premium running experience.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/ASICS_Novablast_3/descpage-ANB3W08.html
