,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,HOKA Rincon 3,Women's Shoes - Ceramic/Evening Primrose, $124.95 , Technologies  MIDSOLEFull Compression EVA full-length midsole provides industry-leading cushioning for increased impact protection and stability.Revised Early Stage Meta-Rocker Geometry allows for even quicker acceleration.OUTSOLEFull Ground Contact provides increased traction and a smooth heel-to-toe transition.Hi-Abrasion Lightweight Rubber is strategically placed for increased traction and durability.UPPEREngineered Sandwich Mesh upper is breathable and lightweight.Accentuated Heel Pull Tab for easy entry.Slim Tongue package reduces additional weight.  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Rincon_3/descpage-HOR3W09.html
1,HOKA Challenger 7,Women's Shoes - Flame/Cherries Jubi, $144.95 , Technologies  MIDSOLECMEVA (Compression-Molded EVA) foam midsole provides optimal lightweight cushioning.OUTSOLEDurabrasion Rubber for increased durability and dependability.  4mm Lugs provide reliable traction on.UPPEREngineered Mesh allows for ample air-flow.Extended Heel Pull relieves pressure on the achilles while offering easy entry.   ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Challenger_7/descpage-HCH7W02.html
2,HOKA Clifton 9,Women's Shoes - Nimbus Cloud/Ice Water, $144.95 , Technologies  MIDSOLECMEVA FOAM provides HOKA's signature cushioning and comfort.Early Stage Meta-Rocker Geometry engineered to promote and encourage an efficient gait.Flat Waisted Geometry provides inherent stability. OUTSOLEDurabrasion Rubber providing traction and durability.Full Ground Contact provides increased traction and a smooth heel to toe transition.UPPERBreathable Engineered Knit Upper promotes additional airflow as well as support in key areasGusseted Tongue for additional protection from rogue sticks and stonesReinforced Eyestays provide increased durability.    ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Clifton_9/descpage-HCL9W09.html
3,HOKA Bondi 8,Women's Shoes - Cherries Jubilee/Pink Yarrow, $164.95 ," Technologies  MIDSOLESoft EVA Midsole running the full length of the shoe is 30% softer than traditional EVA foam, offering enhanced cushioning and support.Extended Heel Geometry is a rockered midsole design engineered to deliver a smooth ride and increased propulsion.OUTSOLEFull Ground Contact provides increased traction and a smooth heel-to-toe transition.Hi-Abrasion Lightweight Rubber is strategically placed for increased traction and durability.Crash Pad works to increase ground contact and durability while creating a smoother transition to the forefoot.UPPEREngineered mesh comprises the upper, providing lightweight breathability.Lycra comfort frame in the heel offers comfortable support.Internal heel counter locks the heel into place and provides additional support.Pillowed Tongue provides pressure relief under the laces.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Bondi_8/descpage-HOB8W09.html
4,HOKA Arahi 6,Women's Shoes - Black/Pink Yarrow, $139.95 , Technologies  MIDSOLECMEVA Foam is durable and provides a soft landing without feeling overly plush.EVA J-Frame provides lightweight dynamic stability by placing firmer EVA foam along the medial side of the shoe and around the heel to guide the foot naturally without using a standard medial post.Early Stage Meta-Rocker Geometry is a rockered midsole design engineered to deliver a smooth ride and increased propulsion.OUTSOLEHi-Abrasion Lightweight Rubber is strategically placed for increased traction and durability.UPPEREngineered mesh on the upper is lightweight and allows for excellent airflow and breathability.Padded Tongue enhances the step-in feel to create a plush fit.Molded Ortholite Sockliner helps with odor management while providing additional underfoot cushioning.   ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Arahi_6/descpage-HOAR6W9.html
5,HOKA Mach 5,Women's Shoes - Impala/Cyclamen, $139.95 ," Technologies  MIDSOLEPROFLY+ gives a cushioned landing and an explosive toe-off.Exposed Rubberized Foam layer below the PROFLY+ layer, this foam adds a firmer slab of foam that is trustworthy and absorbs impact.Early-Stage Meta-Rocker Geometry is a rockered midsole design engineered to provide a smooth ride.OUTSOLERubberized Foam outsole has a high energy return, and provides additional cushioning and good traction.UPPERJacquard Mesh offers breathability and an improved midfoot lockdown.Anatomical Achilles reduces Achilles irritation.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Mach_5/descpage-HOM5W8.html
6,HOKA Clifton 9,Women's Shoes - Black/Copper, $144.95 , Technologies  MIDSOLECMEVA FOAM provides HOKA's signature cushioning and comfort.Early Stage Meta-Rocker Geometry engineered to promote and encourage an efficient gait.Flat Waisted Geometry provides inherent stability. OUTSOLEDurabrasion Rubber providing traction and durability.Full Ground Contact provides increased traction and a smooth heel to toe transition.UPPERBreathable Engineered Knit Upper promotes additional airflow as well as support in key areasGusseted Tongue for additional protection from rogue sticks and stonesReinforced Eyestays provide increased durability.    ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Clifton_9/descpage-HCL9W06.html
7,HOKA Clifton 9,Women's Shoes - Bellwether Blue/Ceramic, $144.95 , Technologies  MIDSOLECMEVA FOAM provides HOKA's signature cushioning and comfort.Early Stage Meta-Rocker Geometry engineered to promote and encourage an efficient gait.Flat Waisted Geometry provides inherent stability. OUTSOLEDurabrasion Rubber providing traction and durability.Full Ground Contact provides increased traction and a smooth heel to toe transition.UPPERBreathable Engineered Knit Upper promotes additional airflow as well as support in key areasGusseted Tongue for additional protection from rogue sticks and stonesReinforced Eyestays provide increased durability.    ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Clifton_9/descpage-HCL9W01.html
8,HOKA Clifton 9,Women's Shoes - Ceramic/Evening Primrose, $144.95 , Technologies  MIDSOLECMEVA FOAM provides HOKA's signature cushioning and comfort.Early Stage Meta-Rocker Geometry engineered to promote and encourage an efficient gait.Flat Waisted Geometry provides inherent stability. OUTSOLEDurabrasion Rubber providing traction and durability.Full Ground Contact provides increased traction and a smooth heel to toe transition.UPPERBreathable Engineered Knit Upper promotes additional airflow as well as support in key areasGusseted Tongue for additional protection from rogue sticks and stonesReinforced Eyestays provide increased durability.    ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Clifton_9/descpage-HCL9W04.html
9,HOKA Clifton 9,Women's Shoes - Chalk Violet/Pastel Lilac, $144.95 , Technologies  MIDSOLECMEVA FOAM provides HOKA's signature cushioning and comfort.Early Stage Meta-Rocker Geometry engineered to promote and encourage an efficient gait.Flat Waisted Geometry provides inherent stability. OUTSOLEDurabrasion Rubber providing traction and durability.Full Ground Contact provides increased traction and a smooth heel to toe transition.UPPERBreathable Engineered Knit Upper promotes additional airflow as well as support in key areasGusseted Tongue for additional protection from rogue sticks and stonesReinforced Eyestays provide increased durability.    ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/HOKA_Clifton_9/descpage-HCL9W02.html
