,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,New Balance Fresh Foam X 1080 v12,Women's Shoes - Honeyco, $159.95 ," Technologies  MIDSOLEFresh Foam X delivers plush cushioning for those who want a soft underfoot feel, updated for additional compliance and cushioning.OUTSOLERubber Outsole provides a durable grip and superior rebound.UPPEREngineered Mesh upper is engineered for support and stretch in specified areas for a secure and comfortable fit.No Sew Overlays help to secure the foot while eliminating hot spots and discomfort.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_Fresh_Foam_X_1080_v12/descpage-N120W22.html
1,New Balance Fresh Foam X 880 v13,Women's Shoes - Blue/Grn, $139.95 , Technologies  MIDSOLEFresh Foam X offers  plush cushioning for a soft underfoot feel.Bio-Based Materials offers a smaller carbon footprint without sacrificing performance. OUTSOLENDurance Rubber Outsole provides enhanced durability with superior grip.UPPEREngineered Synthetic/Mesh upper is engineered for support and stretch in specified areas for a secure and comfortable fit.Adjustable Laces create the perfect fit.   ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_Fresh_Foam_X_880_v13/descpage-NB813W5.html
2,New Balance FuelCell SuperComp Trainer,Womens Shoes - Red, $179.95 , Technologies  MIDSOLEFuelCell midsole foam is soft and responsiveEnergy Arc is a carbon fiber plate that runs the length of the shoe for energy conservation and propulsionOUTSOLERubber outsole offers lightweight traction and adds durability by protecting the soft midsole.UPPERKnit upper delivers an extremely lightweight and breathable design.    ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_FuelCell_SuperComp_Trainer/descpage-NBWTSC4.html
3,New Balance Fresh Foam X 860 v13,Women's Shoes - Nb Navy, $139.95 , Technologies  MIDSOLEFresh Foam X midsole is highly cushioned for a soft landing with energetic rebound.Medial Post has been reshaped to offer a more natural feel underfoot. OUTSOLERebuilt Outsole Setup delivers more stability.UPPERStructured and Breathable upper offers a secure and comfortable fit.  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Mod</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_Fresh_Foam_X_860_v13/descpage-N613W08.html
4,New Balance Fresh Foam X More v4,Women's Shoes - Grey/Pnk, $149.95 , Technologies  MIDSOLEFresh Foam midsole delivers a more energetic rebound and softer cushioning than its predecessor.Flex Grooves ensure a smooth heel-to-toe transition. Rockered Geometry conserves energy and makes running feel easierOUTSOLEGround Contact Foam provides an incredibly light ride.Heel Bevel is designed to aid in shock absorption. UPPEREngineered Mesh offers structure while remaining breathable and flexible.   ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_Fresh_Foam_X_More_v4/descpage-NFFX4W8.html
5,New Balance FuelCell Rebel v3,Women's Shoes - Cosmic Rose, $129.95 ," Technologies  MIDSOLEFuelCell is New Balance's most responsive and soft compound to date.OUTSOLENDURANCE rubber is placed strategically in the heel and forefoot for durability while maintaining a light, flexible feel.UPPERThin Engineered Mesh upper delivers a lightweight and breathable design.No Sew overlays virtually illuminate hotspots and irritating seems.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_FuelCell_Rebel_v3/descpage-NBWR3H.html
6,New Balance FuelCell SuperComp Elite v3,Women's Shoes - W, $229.95 ," Technologies  MIDSOLEFuelCell is New Balance's most responsive and softest compound to date.Energy Arc Carbon-Fiber Plate is designed to be more aggressive providing more pop and propulsion during toe-off. OUTSOLERubber outsole offers lightweight traction and adds durability by protecting the soft midsole.UPPEROne-Piece Knit Upper with a built-in tongue, delivers an extremely lightweight and breathable experience.    ","[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_FuelCell_SuperComp_Elite_v3/descpage-NSCE3W1.html
7,New Balance FuelCell SuperComp Elite v3,Women's Shoes - M, $229.95 ," Technologies  MIDSOLEFuelCell is New Balance's most responsive and softest compound to date.Energy Arc Carbon-Fiber Plate is designed to be more aggressive providing more pop and propulsion during toe-off. OUTSOLERubber outsole offers lightweight traction and adds durability by protecting the soft midsole.UPPEROne-Piece Knit Upper with a built-in tongue, delivers an extremely lightweight and breathable experience.    ","[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_FuelCell_SuperComp_Elite_v3/descpage-NSCE3W2.html
8,New Balance FuelCell SuperComp Trainer,Womens Shoes - Blk, $179.95 , Technologies  MIDSOLEFuelCell midsole foam is soft and responsiveEnergy Arc is a carbon fiber plate that runs the length of the shoe for energy conservation and propulsionOUTSOLERubber outsole offers lightweight traction and adds durability by protecting the soft midsole.UPPERKnit upper delivers an extremely lightweight and breathable design.    ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_FuelCell_SuperComp_Trainer/descpage-NBWTSC5.html
9,New Balance FuelCell SuperComp Trainer,Womens Shoes - Glo, $179.95 , Technologies  MIDSOLEFuelCell midsole foam is soft and responsiveEnergy Arc is a carbon fiber plate that runs the length of the shoe for energy conservation and propulsionOUTSOLERubber outsole offers lightweight traction and adds durability by protecting the soft midsole.UPPERKnit upper delivers an extremely lightweight and breathable design.    ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/New_Balance_FuelCell_SuperComp_Trainer/descpage-NBWTSC1.html
