,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,PUMA Deviate Nitro Elite 2,Women's Shoes - Lime/Royal/Blk, $200.00 , Technologies  MIDSOLE NITRO Elite delivers premium foam technology that is lightweight and ultra-responsive. PWRPLATE is a carbon fiber plate designed for maximum energy return and optimized running efficiency.  OUTSOLE PUMAGRIP rubber offers durable traction on any surface. UPPER MONO-MESH provides lightweight and breathable race fit.   ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_Deviate_Nitro_Elite_2/descpage-PDNE2W1.html
1,PUMA Deviate Nitro Elite 2,Women's Shoes - Run 75 Mint/Wh, $200.00 , Technologies  MIDSOLE NITRO Elite delivers premium foam technology that is lightweight and ultra-responsive. PWRPLATE is a carbon fiber plate designed for maximum energy return and optimized running efficiency.  OUTSOLE PUMAGRIP rubber offers durable traction on any surface. UPPER MONO-MESH provides lightweight and breathable race fit.   ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_Deviate_Nitro_Elite_2/descpage-PDNE2W2.html
2,PUMA Fast-R Nitro Elite,Women's Shoes - Elektrocharged, $250.00 , Technologies  MIDSOLENITRO ELITE foam is highly responsive and extremely lightweight.PWRPLATE is a carbon fiber running plate designed to provide support and power for higher efficiency. OUTSOLEPUMAGRIP rubber continues to provide unrivaled grip and traction on the course or track.UPPERPWRTAPE reinforcements are strategically placed in high pressure areas for necessary support while keeping weight to a minimum.Heel Fin provides the needed structure and support in the heel without being intrusive.  ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_Fast-R_Nitro_Elite/descpage-PFRNEW1.html
3,PUMA Deviate Nitro 2,Women's Shoes - Puma Black/Team Gold, $160.00 , Technologies   ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_Deviate_Nitro_2/descpage-PUDN2W1.html
4,PUMA Deviate Nitro 2,Women's Shoes - Royal Sapphire/Purpl, $160.00 , Technologies   ,"[<div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_Deviate_Nitro_2/descpage-PUDN2W2.html
5,PUMA Fast-FWD Nitro Elite,Women's Shoes - Purple/Blk/Lime, $220.00 ," Technologies  MIDSOLENITRO Elite foam delivers ultra-responsiveness in a lightweight and soft package.PWRPLATE is powered by carbon to offer a highly explosive and efficient ride.Pebax Insole for soft-step in cushioning.OUTSOLEPUMAGRIP Rubber is thin but offers excellent traction.UPPERMono Mesh is thin, breathable, and lightweight.PWRTAPE provides perfect amount of structure without compromising weight.  ","[<div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_Fast-FWD_Nitro_Elite/descpage-PUFNEW1.html
6,PUMA ForeverRun Nitro,Women's Shoes - Puma White, $150.00 ," Technologies  MIDSOLE Dual Layer Nitro Foam is a supercritical TPEE based foam that provides soft and lightweight cushioning.  OUTSOLE PUMAGRIP rubber provides premium, long-lasting traction.   UPPER Engineered Mesh for soft and breathable fit. PWRTAPE overlays provide lightweight support around the upper.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Min</div>, <div class=""col is-active"">Mod</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_ForeverRun_Nitro/descpage-PUFONW1.html
7,PUMA ForeverRun Nitro,Women's Shoes - Ravish/Fresh Pear, $150.00 ," Technologies  MIDSOLE Dual Layer Nitro Foam is a supercritical TPEE based foam that provides soft and lightweight cushioning.  OUTSOLE PUMAGRIP rubber provides premium, long-lasting traction.   UPPER Engineered Mesh for soft and breathable fit. PWRTAPE overlays provide lightweight support around the upper.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Min</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_ForeverRun_Nitro/descpage-PUFONW2.html
8,PUMA Velocity Nitro 2,Women's Shoes - Elektro Purple/Lime, $120.00 , Technologies  MIDSOLENITRO Foam delivers an ultra-responsiveness and highly cushioned ride.TPU Heel Piece for added stability.OUTSOLEPUMAGRIP provides outstanding grip and durability.UPPEREngineered Mesh offers support and stretch for a secure and comfortable fit  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_Velocity_Nitro_2/descpage-PUVN2W1.html
9,PUMA Magnify Nitro,Women's Shoes - Black/Castlerock/White, $140.00 , Technologies   ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/PUMA_Magnify_Nitro/descpage-PUMNW1.html
