,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,Topo Athletic Fli-Lyte 4,Women's Shoes - White/Lime, $120.00 , Technologies   ,"[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Topo_Athletic_Fli-Lyte_4/descpage-TPFLW44.html
1,Topo Athletic Fli-Lyte 4,Women's Shoes - Powder Blue/Wht, $120.00 , Technologies   ,"[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Topo_Athletic_Fli-Lyte_4/descpage-TPFLW42.html
2,Topo Athletic Fli-Lyte 4,Women's Shoes - Black/White, $120.00 , Technologies   ,"[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Topo_Athletic_Fli-Lyte_4/descpage-TPFLW41.html
3,Topo Athletic Magnifly 4,Women's Shoes - Admiral Blue/Tea, $130.00 , Technologies  MIDSOLEDual-Density Zipfoam Midsole offers a plush top-sole layer and a responsive bottom layer.OUTSOLERubber Outsole runs the length of the shoe for increased durability and traction.UPPERRecycled Engineered Mesh provides a breathable feel and a secure but foot-friendly wrap.TPU Heel Counter helps secure the runner in the shoe platform.Anatomical Toe Box provides an extra-wide toe box shape to promote a more natural toe splay.  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Topo_Athletic_Magnifly_4/descpage-TAM4W4.html
4,Topo Athletic Magnifly 4,Women's Shoes - GlassBlue/Lime, $130.00 , Technologies  MIDSOLEDual-Density Zipfoam Midsole offers a plush top-sole layer and a responsive bottom layer.OUTSOLERubber Outsole runs the length of the shoe for increased durability and traction.UPPERRecycled Engineered Mesh provides a breathable feel and a secure but foot-friendly wrap.TPU Heel Counter helps secure the runner in the shoe platform.Anatomical Toe Box provides an extra-wide toe box shape to promote a more natural toe splay.  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Topo_Athletic_Magnifly_4/descpage-TAM4W3.html
5,Topo Athletic Magnifly 4,Women's Shoes - Emerald/Coral, $130.00 , Technologies  MIDSOLEDual-Density Zipfoam Midsole offers a plush top-sole layer and a responsive bottom layer.OUTSOLERubber Outsole runs the length of the shoe for increased durability and traction.UPPERRecycled Engineered Mesh provides a breathable feel and a secure but foot-friendly wrap.TPU Heel Counter helps secure the runner in the shoe platform.Anatomical Toe Box provides an extra-wide toe box shape to promote a more natural toe splay.  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Topo_Athletic_Magnifly_4/descpage-TAM4W2.html
6,Topo Athletic MT-4,Women's Shoes - Navy/Coral, $125.00 , Technologies  MIDSOLEDual Density EVA Midsole uses a softer layer close to the foot for cushioning with a firmer bottom layer for responsiveness.OUTSOLEVibram XC Trek EVO Outsole provides incredible grip and protection on a wide variety of surafaces.UPPERRecycled Mesh keeps weight at a minimum while providing a sustainable and breathable fit.Anatomical Toe Box provides an extra-wide toe box shape to promote a more natural toe splay.  ,"[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>]",https://www.runningwarehouse.com/Topo_Athletic_MT-4/descpage-TPMT4W1.html
7,Topo Athletic MT-4,Women's Shoes - Heather/Mint, $125.00 , Technologies  MIDSOLEDual Density EVA Midsole uses a softer layer close to the foot for cushioning with a firmer bottom layer for responsiveness.OUTSOLEVibram XC Trek EVO Outsole provides incredible grip and protection on a wide variety of surafaces.UPPERRecycled Mesh keeps weight at a minimum while providing a sustainable and breathable fit.Anatomical Toe Box provides an extra-wide toe box shape to promote a more natural toe splay.  ,"[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>]",https://www.runningwarehouse.com/Topo_Athletic_MT-4/descpage-TPMT4W2.html
8,Topo Athletic Specter,Women's Shoes - Aqua/Lime, $160.00 ," Technologies  MIDSOLEPebax Powered Core with EVA Frame delivers soft cushioning and high energy return with a stable baseAggressive Rocker for efficiency and fast transitionsOUTSOLELightweight die-cut rubber provides traction and durabilityUPPERLight Engineered Mesh keeps weight at a minimum while providing a breathable, foot-friendly wrap.Printed Upper Pattern provides a snug midfoot lockdown for a more anatomical fit.Anatomical Toe Box provides an extra wide toe box shape to promote a more natural toe splay.   ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Topo_Athletic_Specter/descpage-TASPW3.html
9,Topo Athletic Specter,Women's Shoes - Espresso/Peach, $160.00 ," Technologies  MIDSOLEPebax Powered Core with EVA Frame delivers soft cushioning and high energy return with a stable baseAggressive Rocker for efficiency and fast transitionsOUTSOLELightweight die-cut rubber provides traction and durabilityUPPERLight Engineered Mesh keeps weight at a minimum while providing a breathable, foot-friendly wrap.Printed Upper Pattern provides a snug midfoot lockdown for a more anatomical fit.Anatomical Toe Box provides an extra wide toe box shape to promote a more natural toe splay.   ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Topo_Athletic_Specter/descpage-TASPW1.html
10,Topo Athletic Specter,Women's Shoes - Orange/Seafoam, $160.00 ," Technologies  MIDSOLEPebax Powered Core with EVA Frame delivers soft cushioning and high energy return with a stable baseAggressive Rocker for efficiency and fast transitionsOUTSOLELightweight die-cut rubber provides traction and durabilityUPPERLight Engineered Mesh keeps weight at a minimum while providing a breathable, foot-friendly wrap.Printed Upper Pattern provides a snug midfoot lockdown for a more anatomical fit.Anatomical Toe Box provides an extra wide toe box shape to promote a more natural toe splay.   ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Topo_Athletic_Specter/descpage-TASPW2.html
11,Topo Athletic Ultrafly 4,Women's Shoes - Wine/Black, $135.00 ," Technologies  MIDSOLEFull-Length Zipfoam Midsole offers lightweight cushioning with more rebound than traditional EVA.Medial Post helps to reduce the inward rolling of the foot also known as overpronation.OUTSOLERubber Outsole placed strategically in high wear areas for increased durability and traction.UPPEREngineered Mesh keeps weight at a minimum while providing a breathable, foot-friendly wrap.Molded Foam Collar for added comfort and a locked-in fit.TPU Heel Counter helps to stabilize your foot upon initial impact. Anatomical Toe Box provides an extra-wide toe box shape to promote a more natural toe splay.  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Min</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Topo_Athletic_Ultrafly_4/descpage-TOUF4W1.html
