Title,Price
Hoka Clifton 8 Lab test ,"$130 $112 
      Save 14%
    "
Brooks Ghost 14 Lab test ,"$140 $85 
      Save 39%
    "
Hoka Clifton 9 Lab test ,"$145 $110 
      Save 24%
    "
Brooks Adrenaline GTS 22 Lab test ,"$140 $120 
      Save 14%
    "
Hoka Bondi 8 Lab test ,"$165 $148 
      Save 10%
    "
Brooks Glycerin 20 Lab test ,"$160 $115 
      Save 28%
    "
Hoka Mach 5 Lab test ,"$140 $98 
      Save 30%
    "
Adidas Ultraboost 22 Lab test ,"$190 $76 
      Save 60%
    "
Altra Lone Peak 6 Lab test ,"$140 $80 
      Save 43%
    "
Saucony Endorphin Speed 2 Lab test ,"$160 $60 
      Save 63%
    "
Hoka Speedgoat 5 Lab test ,"$155 $110 
      Save 29%
    "
On Cloudmonster Lab test ,"$170 $160 
      Save 6%
    "
Saucony Ride 15 Lab test ,"$130 $55 
      Save 58%
    "
Hoka Arahi 6 Lab test , $140 
ASICS Gel Nimbus 25 Lab test ,"$160 $124 
      Save 23%
    "
Saucony Triumph 20 Lab test ,"$160 $93 
      Save 42%
    "
Nike React Infinity Run Flyknit 3 Lab test ,"$160 $67 
      Save 58%
    "
Brooks Glycerin 19 Lab test ,"$150 $77 
      Save 49%
    "
Nike Pegasus 40 New Lab test , $130 
ASICS Novablast 3 Lab test ,"$140 $111 
      Save 21%
    "
Brooks Revel 5 Lab test ,"$100 $55 
      Save 45%
    "
Brooks Launch 9 Lab test ,"$110 $57 
      Save 48%
    "
Nike Air Zoom Pegasus 39 Lab test ,"$130 $70 
      Save 46%
    "
ASICS Gel Nimbus 24 Lab test ,"$160 $80 
      Save 50%
    "
PUMA Deviate Nitro 2 Lab test ,"$160 $120 
      Save 25%
    "
Saucony Guide 15 Lab test ,"$140 $51 
      Save 64%
    "
ASICS Noosa Tri 14 Lab test ,"$130 $89 
      Save 32%
    "
Nike Zoom Fly 5 Lab test ,"$160 $110 
      Save 31%
    "
Nike Pegasus Trail 3 Lab test ,"$130 $51 
      Save 61%
    "
Saucony Kinvara 13 Lab test ,"$120 $50 
      Save 58%
    "
Adidas 4DFWD Lab test ,"$200 $110 
      Save 45%
    "
PUMA Velocity Nitro 2 Lab test ,"$120 $75 
      Save 38%
    "
ASICS Gel Kayano 29 Lab test ,"$160 $103 
      Save 36%
    "
Saucony Endorphin Pro 2 Lab test ,"$200 $78 
      Save 61%
    "
Saucony Triumph 19 Lab test ,"$150 $54 
      Save 64%
    "
Hoka Kawana Lab test , $140 
ASICS Gel Kayano 28 Lab test ,"$160 $90 
      Save 44%
    "
Saucony Tempus Lab test ,"$160 $115 
      Save 28%
    "
Brooks Levitate 5 Lab test ,"$150 $60 
      Save 60%
    "
Nike React Pegasus Trail 4 Lab test ,"$140 $77 
      Save 45%
    "
Mizuno Wave Rider 26 Lab test ,"$140 $98 
      Save 30%
    "
Nike Air Zoom Pegasus 38 Lab test ,"$120 $53 
      Save 56%
    "
Saucony Endorphin Speed 3 Lab test ,"$160 $143 
      Save 11%
    "
ASICS Magic Speed 2 Lab test ,"$150 $74 
      Save 51%
    "
Saucony Endorphin Pro 3 Lab test , $225 
Brooks Cascadia 16 Lab test ,"$130 $80 
      Save 39%
    "
Nike ZoomX Vaporfly NEXT% 2 Lab test ,"$225 $150 
      Save 33%
    "
Hoka Gaviota 4 Lab test , $170 
Nike Revolution 6 Lab test ,"$65 $49 
      Save 25%
    "
ASICS GT 2000 10 Lab test ,"$100 $55 
      Save 45%
    "
Nike Wildhorse 7 Lab test ,"$130 $52 
      Save 60%
    "
Adidas Ultraboost 21 Lab test ,"$180 $49 
      Save 73%
    "
Saucony Peregrine 13 Lab test ,"$140 $92 
      Save 34%
    "
Nike Wildhorse 8 Lab test ,"$130 $90 
      Save 31%
    "
Hoka Mach 4 Lab test , $130 
Nike Zoom Fly 4 Lab test ,"$160 $72 
      Save 55%
    "
Altra Outroad Lab test ,"$140 $69 
      Save 51%
    "
Altra Torin 6 Lab test ,"$150 $67 
      Save 55%
    "
ASICS Gel Cumulus 24 Lab test ,"$130 $64 
      Save 51%
    "
Salomon Ultra Glide Lab test ,"$140 $77 
      Save 45%
    "
On Cloudswift Lab test ,"$150 $130 
      Save 13%
    "
Altra Lone Peak 5.0 Lab test ,"$130 $110 
      Save 15%
    "
Saucony Peregrine 12 Lab test ,"$130 $60 
      Save 54%
    "
Nike Downshifter 12 Lab test ,"$70 $41 
      Save 41%
    "
Saucony Ride 14 Lab test ,"$130 $40 
      Save 69%
    "
Adidas Supernova+ Lab test ,"$120 $51 
      Save 58%
    "
On Cloudrunner Lab test , $140 
ASICS GT 1000 11 Lab test ,"$100 $59 
      Save 41%
    "
Hoka Solimar Lab test , $125 
Altra Lone Peak 7 Lab test ,"$150 $120 
      Save 20%
    "
Hoka Zinal Lab test ,"$160 $85 
      Save 47%
    "
ASICS Gel Cumulus 25 New Lab test ,"$140 $130 
      Save 7%
    "
New Balance FuelCell Rebel v3 Lab test ,"$130 $70 
      Save 46%
    "
Salomon XT-6 Lab test ,"$220 $150 
      Save 32%
    "
Skechers Max Cushioning Elite Lab test ,"$90 $70 
      Save 22%
    "
ASICS Magic Speed Lab test ,"$150 $68 
      Save 55%
    "
ASICS Novablast 2 Lab test ,"$130 $86 
      Save 34%
    "
Brooks Launch 8 Lab test ,"$100 $65 
      Save 35%
    "
Hoka Challenger 7 Lab test , $145 
Adidas 4DFWD 2 Lab test ,"$200 $110 
      Save 45%
    "
Saucony Guide 16 Lab test ,"$140 $88 
      Save 37%
    "
Salomon Sense Ride 5 Lab test ,"$140 $130 
      Save 7%
    "
Adidas Duramo 10 Lab test ,"$65 $37 
      Save 43%
    "
Altra Provision 6 Lab test ,"$140 $55 
      Save 61%
    "
New Balance Fuelcell Supercomp Trainer Lab test ,"$180 $100 
      Save 44%
    "
PUMA Deviate Nitro Lab test ,"$160 $51 
      Save 68%
    "
Saucony Endorphin Shift 3 Lab test ,"$150 $94 
      Save 37%
    "
Nike ZoomX Streakfly Lab test ,"$160 $95 
      Save 41%
    "
Adidas Adistar Lab test ,"$130 $59 
      Save 55%
    "
ASICS Gel Excite 9 Lab test ,"$75 $41 
      Save 45%
    "
ASICS Gel Contend 7 Lab test ,"$65 $41 
      Save 37%
    "
Saucony Guide 14 Lab test ,"$130 $45 
      Save 65%
    "
Altra Olympus 5 Lab test ,"$180 $126 
      Save 30%
    "
Adidas Questar Lab test ,"$75 $38 
      Save 49%
    "
Saucony Endorphin Shift 2 Lab test ,"$140 $51 
      Save 64%
    "
Mizuno Wave Rider 25 Lab test ,"$135 $84 
      Save 38%
    "
Salomon Sense Ride 4 Lab test ,"$120 $76 
      Save 37%
    "
ASICS Gel Cumulus 23 Lab test ,"$120 $59 
      Save 51%
    "
Nike Pegasus Trail 3 GTX Lab test ,"$160 $90 
      Save 44%
    "
New Balance Fresh Foam X More v4 Lab test ,"$150 $100 
      Save 33%
    "
Saucony Xodus Ultra Lab test ,"$150 $81 
      Save 46%
    "
Nike Air Winflo 9 Lab test ,"$100 $47 
      Save 53%
    "
Saucony Axon 2 Lab test ,"$100 $40 
      Save 60%
    "
Nike Quest 5 Lab test ,"$80 $50 
      Save 38%
    "
New Balance Fresh Foam More v3 Lab test ,"$165 $94 
      Save 43%
    "
Adidas Terrex Speed Ultra Lab test ,"$160 $62 
      Save 61%
    "
Nike Flex Experience Run 11 Lab test ,"$70 $40 
      Save 43%
    "
Hoka Tecton X Lab test ,"$200 $150 
      Save 25%
    "
New Balance Fresh Foam 1080 v11 Lab test ,"$150 $82 
      Save 45%
    "
Altra Escalante 3 Lab test ,"$140 $85 
      Save 39%
    "
Altra Rivera 2 Lab test ,"$130 $60 
      Save 54%
    "
ASICS GT 2000 11 Lab test , $140 
PUMA Velocity Nitro Lab test ,"$120 $50 
      Save 58%
    "
Merrell Nova 2 Lab test ,"$110 $80 
      Save 27%
    "
ASICS MetaSpeed Sky Lab test , $250 
Nike Quest 4 Lab test ,"$75 $55 
      Save 27%
    "
ASICS Metaspeed Sky+ Lab test , $250 
Nike Run Swift 2 Lab test ,"$70 $52 
      Save 26%
    "
Saucony Kinvara 12 Lab test ,"$110 $67 
      Save 39%
    "
Altra VIA Olympus Lab test , $170 
New Balance Fresh Foam X 1080 v12 Lab test ,"$160 $144 
      Save 10%
    "
Nike ZoomX Invincible Run Flyknit 2 Lab test ,"$180 $126 
      Save 30%
    "
Saucony Peregrine 11 Lab test ,"$120 $44 
      Save 63%
    "
Saucony Kinvara 14 Lab test ,"$120 $80 
      Save 33%
    "
Hoka Carbon X 3 Lab test , $175 
Nike Downshifter 11 Lab test ,"$60 $45 
      Save 25%
    "
ASICS Gel Contend 8 Lab test ,"$100 $54 
      Save 46%
    "
Reebok Floatride Energy 3 Lab test ,"$100 $38 
      Save 62%
    "
Hoka Bondi X Lab test , $209 
New Balance Fresh Foam X Hierro v7 Lab test ,"$140 $88 
      Save 37%
    "
On Cloudswift 3 New Lab test , $160 
ASICS GlideRide 3 Lab test ,"$150 $140 
      Save 7%
    "
New Balance FuelCell Rebel v2 Lab test ,"$130 $74 
      Save 43%
    "
Saucony Freedom 4 Lab test ,"$150 $38 
      Save 75%
    "
New Balance Fresh Foam 860 v11 Lab test ,"$130 $75 
      Save 42%
    "
ASICS Gel Excite 8 Lab test ,"$75 $42 
      Save 44%
    "
Mizuno Wave Horizon 6 Lab test ,"$170 $109 
      Save 36%
    "
Altra Timp 4 Lab test ,"$160 $99 
      Save 38%
    "
New Balance Fresh Foam Roav V2 Lab test ,"$85 $45 
      Save 47%
    "
ASICS GT 1000 10 Lab test ,"$100 $51 
      Save 49%
    "
Saucony Endorphin Edge Lab test , $200 
Saucony Axon Lab test ,"$100 $49 
      Save 51%
    "
ASICS Metaspeed Edge Lab test ,"$250 $110 
      Save 56%
    "
Nike Renew Ride 3 Lab test ,"$80 $65 
      Save 19%
    "
Salomon XA Pro 3D V8 Lab test , $130 
ASICS Trail Scout 2 Lab test ,"$60 $39 
      Save 35%
    "
On Cloudflow 3.0 Lab test ,"$140 $100 
      Save 29%
    "
Altra Mont Blanc Lab test ,"$180 $148 
      Save 18%
    "
Salomon Ultra Glide 2 Lab test ,"$150 $140 
      Save 7%
    "
APL Streamline Lab test ,"$300 $128 
      Save 57%
    "
ASICS Metaspeed Edge+ Lab test , $250 
Brooks Ricochet 3 Lab test ,"$120 $70 
      Save 42%
    "
Nike Flex Experience Run 10 Lab test ,"$65 $33 
      Save 49%
    "
ASICS Gel Nimbus Lite 3 Lab test ,"$160 $85 
      Save 47%
    "
New Balance Fresh Foam 860 v12 Lab test ,"$130 $68 
      Save 48%
    "
Adidas Adizero Adios 7 Lab test ,"$130 $52 
      Save 60%
    "
Saucony Endorphin Trail Lab test ,"$160 $59 
      Save 63%
    "
Nike React Miler 3 Lab test ,"$120 $72 
      Save 40%
    "
New Balance Fresh Foam X More Trail v3 New Lab test , $160 
New Balance Fresh Foam Hierro v6 Lab test ,"$135 $97 
      Save 28%
    "
Nike Pegasus Turbo Lab test ,"$150 $90 
      Save 40%
    "
Nike ZoomX Invincible Run Flyknit 3 Lab test , $180 
Nike ZoomX Invincible Run Lab test , $172 
Hoka Gaviota 3 Lab test , $200 
Nike Air Zoom Alphafly Next% 2 Lab test , $275 
Hoka Arahi 5 Lab test , $160 
ASICS Gel Kayano Lite 3 Lab test ,"$160 $110 
      Save 31%
    "
ASICS Gel Kayano Lite 2 Lab test ,"$160 $70 
      Save 56%
    "
Adidas Adizero Adios Pro 2.0 Lab test ,"$220 $118 
      Save 46%
    "
Adidas Runfalcon Lab test , $60 
Allbirds Tree Dasher Lab test ,"$125 $119 
      Save 5%
    "
Reebok Lite 3 Lab test ,"$65 $37 
      Save 43%
    "
ASICS Gel Pulse 11 Lab test ,"$90 $50 
      Save 44%
    "
Brooks Anthem 4 Lab test ,"$85 $60 
      Save 29%
    "
Salomon XA Pro 3D GTX Lab test , $170 
Nike Zoom Terra Kiger 8 Lab test ,"$140 $80 
      Save 43%
    "
ASICS GT 1000 9 Lab test ,"$100 $80 
      Save 20%
    "
Nike Renew Ride 2 Lab test ,"$75 $45 
      Save 40%
    "
Nike Air Zoom Pegasus 38 FlyEase Lab test ,"$120 $91 
      Save 24%
    "
New Balance FuelCell RC Elite v2 Lab test , $230 
Saucony Endorphin Pro+ Lab test , $262 
NOBULL Knit Runner Lab test , $159 
Skechers GOrun Razor Excess Lab test ,"$140 $55 
      Save 61%
    "
Nike Juniper Trail Lab test , $125 
NOBULL Ripstop Runner Lab test , $139 
Nike Free Run 5.0 Lab test ,"$100 $63 
      Save 37%
    "
Jordan React Havoc Lab test ,"$130 $99 
      Save 24%
    "
New Balance Shando Lab test , $150 
Nike Air Zoom Terra Kiger 6 Lab test ,"$130 $122 
      Save 6%
    "
NOBULL Runner+ Lab test , $179 
Nike Flex Run 2021 Lab test , $90 
Adidas Runfalcon 2.0 Lab test ,"$60 $50 
      Save 17%
    "
Salomon Sense Pro 4 Lab test ,out of stock
Adidas Adistar 2.0 New Lab test ,"$130 $72 
      Save 45%
    "
On Cloud ,"$130 $100 
      Save 23%
    "
Kailas Fuga Pro 4 Lab test ,out of stock
Kailas Fuga EX 2 Lab test ,out of stock
Kailas Fuga Elite 2 Lab test ,out of stock
Kailas Fuga EX BOA Lab test ,out of stock
Kailas Fuga DU Lab test ,out of stock
Kailas Fuga YAO Lab test ,out of stock
Adidas Ultraboost ,"$180 $41 
      Save 77%
    "
Brooks Ghost 15 ,"$140 $99 
      Save 29%
    "
Adidas Alphabounce ,"$100 $34 
      Save 66%
    "
Saucony Endorphin Speed ,"$160 $86 
      Save 46%
    "
Hoka Bondi 7 ,"$150 $120 
      Save 20%
    "
ASICS Gel Venture 8 ,"$70 $30 
      Save 57%
    "
