Title,Price
Hoka Clifton 8 Lab test ,"$130 $48 
      Save 63%
    "
Brooks Ghost 14 Lab test ,"$140 $90 
      Save 36%
    "
Brooks Adrenaline GTS 22 Lab test ,"$140 $89 
      Save 36%
    "
Hoka Clifton 9 Lab test ,"$145 $110 
      Save 24%
    "
Hoka Mach 5 Lab test ,"$140 $98 
      Save 30%
    "
On Cloudmonster Lab test , $170 
Hoka Bondi 8 Lab test , $161 
Brooks Glycerin 20 Lab test ,"$160 $120 
      Save 25%
    "
Adidas Ultraboost 22 Lab test ,"$190 $58 
      Save 70%
    "
Brooks Launch 9 Lab test ,"$110 $70 
      Save 36%
    "
Altra Lone Peak 6 Lab test ,"$140 $75 
      Save 46%
    "
Saucony Endorphin Speed 2 Lab test ,"$160 $55 
      Save 66%
    "
Hoka Speedgoat 5 Lab test ,"$155 $110 
      Save 29%
    "
ASICS Gel Nimbus 25 Lab test ,"$160 $123 
      Save 23%
    "
Hoka Arahi 6 Lab test , $140 
Nike React Infinity Run Flyknit 3 Lab test ,"$160 $60 
      Save 63%
    "
Saucony Triumph 20 Lab test ,"$160 $98 
      Save 39%
    "
Nike Pegasus 40 New Lab test , $130 
Saucony Ride 15 Lab test ,"$130 $55 
      Save 58%
    "
Saucony Guide 15 Lab test ,"$140 $50 
      Save 64%
    "
Nike Air Zoom Pegasus 39 Lab test ,"$130 $65 
      Save 50%
    "
Brooks Glycerin 19 Lab test ,"$150 $70 
      Save 53%
    "
PUMA Velocity Nitro 2 Lab test ,"$120 $48 
      Save 60%
    "
Saucony Kinvara 13 Lab test ,"$120 $50 
      Save 58%
    "
Brooks Revel 5 Lab test ,"$100 $66 
      Save 34%
    "
ASICS Novablast 3 Lab test ,"$140 $119 
      Save 15%
    "
ASICS Gel Nimbus 24 Lab test ,"$160 $80 
      Save 50%
    "
ASICS MetaSpeed Sky Lab test ,"$250 $110 
      Save 56%
    "
Salomon Ultra Glide Lab test ,"$140 $56 
      Save 60%
    "
PUMA Deviate Nitro 2 Lab test ,"$160 $120 
      Save 25%
    "
