,Title,webpage2,highest_similarity
0,Adidas Adizero Prime X Strung ,adidas adizero Prime X Strung,92
1,Adidas Adizero Adios Pro 3 ,adidas adizero Adios Pro 3,91
2,Adidas 4D ,adidas,62
3,Adidas Adizero Boston 11 ,adidas adizero Boston 11,90
4,Adidas Adizero Adios 5 ,adidas adizero Adios 7,84
5,Adidas Adizero RC 2 ,adidas adizero RC 5,82
6,Adidas Adizero SL ,adidas Adizero SL,91
7,Adidas Ultraboost Light New ,adidas Ultraboost Light,86
8,Adidas Solar Boost ,adidas Solar Boost 5,92
9,Adidas Solar Glide ,adidas Solar Glide 6,92
10,Adidas Terrex Agravic Ultra ,adidas Terrex Agravic Ultra,95
11,Adidas Terrex Speed Pro ,adidas Terrex Speed Ultra,82
12,Adidas Terrex Agravic Flow ,adidas Terrex Agravic Flow 2,95
13,Adidas Terrex Soulstride ,adidas Terrex Soulstride Flow,89
14,Adidas Supernova 2 ,adidas Supernova 2,92
15,Adidas Adizero Adios 5 ,adidas adizero Finesse Spikes,62
16,Adidas Adizero SL ,adidas adizero HJ Spikes,67
17,Adidas Questar Lab test ,adidas Jumpstar Spikes,61
18,Adidas Adizero Pro ,adidas adizero Throws Shoes,70
19,Adidas Adizero Pro ,adidas adizero TJ/PV Spikes,65
20,Adidas Adizero Adios 5 ,adidas adizero Ambition Spikes,64
21,Adidas Adizero Adios 5 ,adidas adizero Avanti TYO Spikes,62
22,Adidas Adistar CS ,adidas distancestar Spikes,64
23,Adidas Adistar CS ,adidas sprintstar Spikes,62
24,Altra Vanish Carbon ,Altra Vanish Carbon,97
25,Altra Vanish Tempo ,Altra Vanish Tempo,97
26,Altra Lone Peak 4.5 ,Altra Lone Peak 7,86
27,Altra Lone Peak 4.5 ,Altra Lone Peak ALL-WTHR Low 2,68
28,Altra Lone Peak 4.5 ,Altra Lone Peak ALL-WTHR Mid 2,68
29,Altra Olympus 3.5 ,Altra Olympus 5,91
30,Altra VIA Olympus Lab test ,Altra VIA Olympus,77
31,Altra Superior 5 ,Altra Superior 6,91
32,Altra Superior 5 ,Altra Superior 5,97
33,Altra Torin 4 ,Altra Torin 6,89
34,Altra Torin 4 ,Altra Torin 7,89
35,Altra Torin 5 ,Altra Torin 5,96
36,Altra Escalante ,Altra Escalante 3,97
37,Altra Escalante Racer ,Altra Escalante Racer,98
38,Altra Paradigm 6.0 ,Altra Paradigm 6,91
39,Altra Mont Blanc BOA ,Altra Mont Blanc BOA,98
40,Altra Mont Blanc BOA ,Altra Mont Blanc,86
41,Altra Timp ,Altra Timp 4,96
42,Altra Rivera 3 ,Altra Rivera 3,97
43,Altra Outroad Lab test ,Altra Outroad,72
44,Altra Outroad Lab test ,Altra Outroad 2,74
45,Altra Provision 7 ,Altra Provision 7,97
46,Altra Solstice ,Altra Solstice XT 2,88
47,ASICS Gel Nimbus 23 ,ASICS Gel Nimbus 25,92
48,ASICS Gel Cumulus 22 ,ASICS Gel Cumulus 25,93
49,ASICS Novablast ,ASICS Novablast 3,97
50,ASICS EvoRide ,ASICS SUPERBLAST,53
51,ASICS Noosa Tri 13 ,ASICS Noosa Tri 14,92
52,ASICS Gel Kayano 27 ,ASICS Gel Kayano 29,92
53,ASICS Novablast ,ASICS Novablast 2,97
54,ASICS Gel Nimbus 23 ,ASICS Gel Nimbus 24,92
55,ASICS Gel Nimbus Lite ,ASICS Gel Nimbus Lite 3,98
56,ASICS Gel Cumulus 22 ,ASICS Gel Cumulus 24,93
57,ASICS Gel Kayano Lite ,ASICS Gel Kayano Lite 3,98
58,ASICS Magic Speed 2 Lab test ,ASICS Magic Speed 2,79
59,ASICS Magic Speed Lab test ,ASICS Magic Speed 3,78
60,ASICS GT 2000 9 ,ASICS GT 2000 11,88
61,ASICS GT 2000 9 ,ASICS GT 2000 11 GTX,83
62,ASICS GT 2000 9 ,ASICS GT 2000 10,88
63,ASICS Trabuco Max ,ASICS Trabuco Max 2,97
64,ASICS Gel Trabuco 9 ,ASICS Gel Trabuco 11,90
65,ASICS MetaSpeed Sky Lab test ,ASICS METASPEED Sky+,49
66,ASICS EvoRide ,ASICS METASPEED Edge+,51
67,ASICS Magic Speed Lab test ,ASICS METASPEED LD Spikes,50
68,ASICS GlideRide ,ASICS GlideRide 3,97
69,ASICS Hyper Speed ,ASICS Hyper Speed 2,97
70,ASICS Dynablast 3 ,ASICS Dynablast 3,97
71,ASICS EvoRide ,ASICS EvoRide 3,97
72,ASICS Fuji Lite 3 ,ASICS Fuji Lite 3,97
73,ASICS GT 1000 8 ,ASICS GT 1000 12,88
74,ASICS GT 1000 8 ,ASICS GT 1000 11,88
