ID,title,price_running_warehouse,price_runrepeat,difference_dollars$,Similarity_percentage
0,adidas adizero Prime X Strung,299.95,100,199.95,92
1,adidas adizero Adios Pro 3,250,80,170,91
2,adidas,179.95,170,9.95,62
3,adidas adizero Boston 11,160,180,20,90
4,adidas adizero Adios 7,130,150,20,84
5,adidas adizero RC 5,99.95,150,50.05,82
6,adidas Adizero SL,120,150,30,91
7,adidas Ultraboost Light,190,150,40,86
8,adidas Solar Boost 5,160,50,110,92
9,adidas Solar Glide 6,130,150,20,92
10,adidas Terrex Agravic Ultra,159.95,150,9.95,95
11,adidas Terrex Speed Ultra,160,100,60,82
12,adidas Terrex Agravic Flow 2,140,150,10,95
13,adidas Terrex Soulstride Flow,129.95,135,5.05,89
14,adidas Supernova 2,99.95,135,35.05,92
15,adidas adizero Finesse Spikes,129.95,90,39.95,62
16,adidas adizero HJ Spikes,99.95,82,17.95,67
17,adidas Jumpstar Spikes,64.95,80,15.05,61
18,adidas adizero Throws Shoes,119.95,170,50.05,70
19,adidas adizero TJ/PV Spikes,109.95,100,9.95,65
20,adidas adizero Ambition Spikes,129.95,70,59.95,64
21,adidas adizero Avanti TYO Spikes,149.95,75,74.95,62
22,adidas distancestar Spikes,64.95,75,10.05,64
23,adidas sprintstar Spikes,64.95,75,10.05,62
24,Altra Vanish Carbon,240,75,165,97
25,Altra Vanish Tempo,170,100,70,97
26,Altra Lone Peak 7,150,170,20,86
27,Altra Lone Peak ALL-WTHR Low 2,180,80,100,68
28,Altra Lone Peak ALL-WTHR Mid 2,190,80,110,68
29,Altra Olympus 5,170,80,90,91
30,Altra VIA Olympus,169.95,80,89.95,77
31,Altra Superior 6,129.95,120,9.95,91
32,Altra Superior 5,130,70,60,97
33,Altra Torin 6,150,70,80,89
34,Altra Torin 7,149.95,120,29.95,89
35,Altra Torin 5,150,120,30,96
36,Altra Escalante 3,130,150,20,97
37,Altra Escalante Racer,140,160,20,98
38,Altra Paradigm 6,170,120,50,91
39,Altra Mont Blanc BOA,210,140,70,98
40,Altra Mont Blanc,180,150,30,86
41,Altra Timp 4,160,150,10,96
42,Altra Rivera 3,139.95,260,120.05,97
43,Altra Outroad,140,75,65,72
44,Altra Outroad 2,139.95,220,80.05,74
45,Altra Provision 7,139.95,220,80.05,97
