,Title,price,price_discount,price_discount_%,brand,model
0,361 Degrees Sensation 4 ,150.0,63.0,53.0,361,Degrees Sensation 4 
1,361 Degrees Strata 3 ,150.0,27.0,83.0,361,Degrees Strata 3 
2,361 Degrees Meraki 2 ,130.0,19.0,85.0,361,Degrees Meraki 2 
3,APL Streamline Lab test ,180.0,120.0,60.0,APL Performance,Streamline Lab test 
4,APL TechLoom Wave ,60.0,92.0,62.0,APL Performance,TechLoom Wave 
5,APL Techloom Zipline ,250.0,144.0,55.0,APL Performance,Techloom Zipline 
6,ASICS Roadhawk FF 2 ,139.0,45.0,55.0,ASICS,Roadhawk FF 2 
7,ASICS Gel Trabuco 9 ,59.0,60.0,54.0,ASICS,Gel Trabuco 9 
8,ASICS Gel Nimbus Lite 2 ,110.0,70.0,53.0,ASICS,Gel Nimbus Lite 2 
9,ASICS Gel Sonoma 6 GTX ,130.0,62.0,31.0,ASICS,Gel Sonoma 6 GTX 
10,ASICS Novablast ,190.0,70.0,46.0,ASICS,Novablast 
11,ASICS Gel Kayano Lite ,100.0,120.0,25.0,ASICS,Gel Kayano Lite 
12,ASICS Gel Noosa Tri 11 ,200.0,100.0,29.0,ASICS,Gel Noosa Tri 11 
13,ASICS Gel Nimbus 25 Lab test ,140.0,123.0,23.0,ASICS,Gel Nimbus 25 Lab test 
14,ASICS GT 4000 ,140.0,78.0,40.0,ASICS,GT 4000 
15,ASICS Noosa Tri 14 Lab test ,150.0,89.0,32.0,ASICS,Noosa Tri 14 Lab test 
16,ASICS Patriot 12 ,110.0,40.0,33.0,ASICS,Patriot 12 
17,ASICS Gel Pulse 13 ,150.0,48.0,47.0,ASICS,Gel Pulse 13 
18,ASICS MetaRide ,65.0,95.0,62.0,ASICS,MetaRide 
19,ASICS Gel Sonoma 5 ,180.0,40.0,50.0,ASICS,Gel Sonoma 5 
20,ASICS Jolt 3 ,86.0,30.0,46.0,ASICS,Jolt 3 
21,ASICS GlideRide 2 ,120.0,80.0,47.0,ASICS,GlideRide 2 
22,ASICS GT 2000 9 ,160.0,53.0,56.0,ASICS,GT 2000 9 
23,ASICS Novablast 2 LE ,200.0,90.0,31.0,ASICS,Novablast 2 LE 
24,ASICS Gel Contend 5 ,130.0,40.0,39.0,ASICS,Gel Contend 5 
25,ASICS Novablast 3 Lab test ,140.0,119.0,15.0,ASICS,Novablast 3 Lab test 
26,ASICS Gel Nimbus 24 Lab test ,130.0,80.0,50.0,ASICS,Gel Nimbus 24 Lab test 
27,ASICS MetaSpeed Sky Lab test ,160.0,110.0,56.0,ASICS,MetaSpeed Sky Lab test 
28,ASICS Gel Trabuco 10 New ,260.0,72.0,45.0,ASICS,Gel Trabuco 10 New 
29,ASICS Hyper Speed ,130.0,55.0,39.0,ASICS,Hyper Speed 
30,ASICS Gel Nimbus Lite ,65.0,35.0,77.0,ASICS,Gel Nimbus Lite 
31,ASICS Gel Kenun Lyte MX ,100.0,65.0,19.0,ASICS,Gel Kenun Lyte MX 
32,ASICS Gel Kayano 28 Lab test ,150.0,80.0,50.0,ASICS,Gel Kayano 28 Lab test 
33,ASICS Gel Kayano 29 Lab test ,160.0,96.0,40.0,ASICS,Gel Kayano 29 Lab test 
34,ASICS Superblast ,200.0,200.0,9.0,ASICS,Superblast 
35,ASICS Trabuco Max ,240.0,72.0,49.0,ASICS,Trabuco Max 
36,ASICS Gel Sonoma 5 GTX ,100.0,0.0,0.0,ASICS,Gel Sonoma 5 GTX 
37,ASICS GT 2000 6 ,75.0,50.0,58.0,ASICS,GT 2000 6 
38,ASICS Gel Nimbus 23 Knit ,175.0,64.0,57.0,ASICS,Gel Nimbus 23 Knit 
39,ASICS FuzeX Rush Adapt ,120.0,70.0,30.0,ASICS,FuzeX Rush Adapt 
40,ASICS Gel Quantum 360 6 ,250.0,57.0,62.0,ASICS,Gel Quantum 360 6 
41,ASICS Noosa Tri 13 ,70.0,95.0,27.0,ASICS,Noosa Tri 13 
42,ASICS Gel Ziruss 2 ,65.0,100.0,29.0,ASICS,Gel Ziruss 2 
43,ASICS Gel Contend 6 ,150.0,50.0,23.0,ASICS,Gel Contend 6 
44,ASICS Novablast 2 Lab test ,65.0,80.0,39.0,ASICS,Novablast 2 Lab test 
45,ASICS Patriot 13 ,200.0,40.0,33.0,ASICS,Patriot 13 
46,ASICS Gel Quantum 360 4 ,85.0,50.0,69.0,ASICS,Gel Quantum 360 4 
47,ASICS Gel Cumulus 24 Lab test ,140.0,63.0,52.0,ASICS,Gel Cumulus 24 Lab test 
48,ASICS GT 2000 9 Trail ,130.0,60.0,50.0,ASICS,GT 2000 9 Trail 
49,ASICS Roadhawk FF 2 MX ,140.0,55.0,45.0,ASICS,Roadhawk FF 2 MX 
50,ASICS Gel Cumulus 22 ,110.0,60.0,50.0,ASICS,Gel Cumulus 22 
51,ASICS Patriot 11 Twist ,140.0,42.0,35.0,ASICS,Patriot 11 Twist 
52,ASICS GT 2000 10 Lab test ,140.0,55.0,45.0,ASICS,GT 2000 10 Lab test 
53,ASICS Gel Cumulus 21 ,140.0,43.0,64.0,ASICS,Gel Cumulus 21 
54,ASICS Gel Kahana 8 ,100.0,50.0,41.0,ASICS,Gel Kahana 8 
55,ASICS Gel Sonoma 6 ,190.0,50.0,38.0,ASICS,Gel Sonoma 6 
56,ASICS Magic Speed 2 Lab test ,100.0,74.0,51.0,ASICS,Magic Speed 2 Lab test 
57,ASICS Gel DS Trainer 26 ,180.0,30.0,77.0,ASICS,Gel DS Trainer 26 
58,ASICS GT 1000 11 Lab test ,130.0,40.0,60.0,ASICS,GT 1000 11 Lab test 
59,ASICS EvoRide 2 ,150.0,49.0,59.0,ASICS,EvoRide 2 
60,ASICS Gel Kumo Lyte 2 ,189.0,47.0,41.0,ASICS,Gel Kumo Lyte 2 
61,ASICS Fuji Lite 2 ,140.0,70.0,42.0,ASICS,Fuji Lite 2 
62,ASICS Versablast 2 ,140.0,42.0,40.0,ASICS,Versablast 2 
63,ASICS Magic Speed Lab test ,160.0,60.0,60.0,ASICS,Magic Speed Lab test 
64,ASICS Frequent Trail ,60.0,35.0,42.0,ASICS,Frequent Trail 
65,ASICS Gel Venture 5 ,140.0,58.0,11.0,ASICS,Gel Venture 5 
