,Title,brand,model,price,price_discount,price_discount_%
0,Adidas Adizero Prime X Strung ,Adidas,Adizero Prime X Strung ,100.0,230.0,23.0
1,Adidas Adizero Adios Pro 3 ,Adidas,Adizero Adios Pro 3 ,80.0,124.0,50.0
2,Adidas 4D ,Adidas,4D ,170.0,0.0,0.0
3,Adidas Adizero Boston 11 ,Adidas,Adizero Boston 11 ,180.0,79.0,51.0
4,Adidas Adizero Adios 5 ,Adidas,Adizero Adios 5 ,150.0,52.0,63.0
5,Adidas Adizero Adios 5 ,Adidas,Adizero Adios 5 ,150.0,52.0,63.0
6,Adidas Adizero Adios 5 ,Adidas,Adizero Adios 5 ,150.0,52.0,63.0
7,Adidas Adizero Adios 5 ,Adidas,Adizero Adios 5 ,150.0,52.0,63.0
8,Adidas Adizero RC 2 ,Adidas,Adizero RC 2 ,50.0,64.0,36.0
9,Adidas Adizero SL ,Adidas,Adizero SL ,150.0,60.0,50.0
10,Adidas Adizero SL ,Adidas,Adizero SL ,150.0,60.0,50.0
11,Adidas Ultraboost Light New ,Adidas,Ultraboost Light New ,100.0,94.0,51.0
12,Adidas Solar Boost ,Adidas,Solar Boost ,150.0,44.0,73.0
13,Adidas Solar Glide ,Adidas,Solar Glide ,135.0,60.0,57.0
14,Adidas Solar Glide ,Adidas,Solar Glide ,135.0,60.0,57.0
15,Adidas Terrex Agravic Ultra ,Adidas,Terrex Agravic Ultra ,90.0,48.0,70.0
16,Adidas Terrex Speed Pro ,Adidas,Terrex Speed Pro ,82.0,0.0,0.0
17,Adidas Terrex Agravic Flow ,Adidas,Terrex Agravic Flow ,80.0,72.0,45.0
18,Adidas Terrex Soulstride ,Adidas,Terrex Soulstride ,170.0,35.0,56.0
19,Adidas Supernova 2 ,Adidas,Supernova 2 ,100.0,41.0,59.0
20,Adidas Questar Lab test ,Adidas,Questar Lab test ,70.0,47.0,37.0
21,Adidas Adizero Pro ,Adidas,Adizero Pro ,75.0,87.0,52.0
22,Adidas Adizero Pro ,Adidas,Adizero Pro ,75.0,87.0,52.0
23,Adidas Adistar CS ,Adidas,Adistar CS ,75.0,76.0,53.0
24,Adidas Adistar CS ,Adidas,Adistar CS ,75.0,76.0,53.0
25,Altra Vanish Carbon ,Altra,Vanish Carbon ,100.0,220.0,8.0
26,Altra Vanish Tempo ,Altra,Vanish Tempo ,170.0,76.0,60.0
27,Altra Lone Peak 4.5 ,Altra,Lone Peak 4.5 ,80.0,0.0,0.0
28,Altra Lone Peak 4.5 ,Altra,Lone Peak 4.5 ,80.0,0.0,0.0
29,Altra Lone Peak 4.5 ,Altra,Lone Peak 4.5 ,80.0,0.0,0.0
30,Altra Olympus 3.5 ,Altra,Olympus 3.5 ,80.0,0.0,0.0
31,Altra VIA Olympus Lab test ,Altra,VIA Olympus Lab test ,120.0,0.0,0.0
32,Altra Superior 5 ,Altra,Superior 5 ,70.0,60.0,50.0
33,Altra Superior 5 ,Altra,Superior 5 ,70.0,60.0,50.0
34,Altra Torin 4 ,Altra,Torin 4 ,120.0,0.0,0.0
35,Altra Torin 4 ,Altra,Torin 4 ,120.0,0.0,0.0
36,Altra Torin 5 ,Altra,Torin 5 ,150.0,52.0,65.0
37,Altra Escalante ,Altra,Escalante ,160.0,0.0,0.0
38,Altra Escalante Racer ,Altra,Escalante Racer ,120.0,0.0,0.0
39,Altra Paradigm 6.0 ,Altra,Paradigm 6.0 ,140.0,100.0,38.0
40,Altra Mont Blanc BOA ,Altra,Mont Blanc BOA ,150.0,0.0,0.0
41,Altra Mont Blanc BOA ,Altra,Mont Blanc BOA ,150.0,0.0,0.0
42,Altra Timp ,Altra,Timp ,260.0,0.0,0.0
43,Altra Rivera 3 ,Altra,Rivera 3 ,75.0,0.0,0.0
44,Altra Outroad Lab test ,Altra,Outroad Lab test ,220.0,65.0,54.0
45,Altra Outroad Lab test ,Altra,Outroad Lab test ,220.0,65.0,54.0
46,Altra Provision 7 ,Altra,Provision 7 ,80.0,110.0,21.0
47,Altra Solstice ,Altra,Solstice ,130.0,0.0,0.0
48,ASICS Gel Nimbus 23 ,ASICS,Gel Nimbus 23 ,130.0,72.0,52.0
49,ASICS Gel Nimbus 23 ,ASICS,Gel Nimbus 23 ,130.0,72.0,52.0
50,ASICS Gel Cumulus 22 ,ASICS,Gel Cumulus 22 ,110.0,60.0,50.0
51,ASICS Gel Cumulus 22 ,ASICS,Gel Cumulus 22 ,110.0,60.0,50.0
52,ASICS Novablast ,ASICS,Novablast ,190.0,70.0,46.0
53,ASICS Novablast ,ASICS,Novablast ,190.0,70.0,46.0
54,ASICS EvoRide ,ASICS,EvoRide ,120.0,50.0,58.0
55,ASICS EvoRide ,ASICS,EvoRide ,120.0,50.0,58.0
56,ASICS EvoRide ,ASICS,EvoRide ,120.0,50.0,58.0
57,ASICS Noosa Tri 13 ,ASICS,Noosa Tri 13 ,70.0,95.0,27.0
58,ASICS Gel Kayano 27 ,ASICS,Gel Kayano 27 ,160.0,95.0,41.0
59,ASICS Gel Nimbus Lite ,ASICS,Gel Nimbus Lite ,65.0,35.0,77.0
60,ASICS Gel Kayano Lite ,ASICS,Gel Kayano Lite ,100.0,120.0,25.0
61,ASICS Magic Speed 2 Lab test ,ASICS,Magic Speed 2 Lab test ,100.0,74.0,51.0
62,ASICS Magic Speed Lab test ,ASICS,Magic Speed Lab test ,160.0,60.0,60.0
63,ASICS Magic Speed Lab test ,ASICS,Magic Speed Lab test ,160.0,60.0,60.0
64,ASICS GT 2000 9 ,ASICS,GT 2000 9 ,160.0,53.0,56.0
65,ASICS GT 2000 9 ,ASICS,GT 2000 9 ,160.0,53.0,56.0
66,ASICS GT 2000 9 ,ASICS,GT 2000 9 ,160.0,53.0,56.0
67,ASICS Trabuco Max ,ASICS,Trabuco Max ,240.0,72.0,49.0
68,ASICS Gel Trabuco 9 ,ASICS,Gel Trabuco 9 ,59.0,60.0,54.0
69,ASICS MetaSpeed Sky Lab test ,ASICS,MetaSpeed Sky Lab test ,160.0,110.0,56.0
70,ASICS GlideRide ,ASICS,GlideRide ,130.0,72.0,52.0
71,ASICS Hyper Speed ,ASICS,Hyper Speed ,130.0,55.0,39.0
72,ASICS Dynablast 3 ,ASICS,Dynablast 3 ,160.0,65.0,35.0
73,ASICS Fuji Lite 3 ,ASICS,Fuji Lite 3 ,134.0,63.0,48.0
74,ASICS GT 1000 8 ,ASICS,GT 1000 8 ,155.0,0.0,0.0
75,ASICS GT 1000 8 ,ASICS,GT 1000 8 ,155.0,0.0,0.0
76,ASICS Fuji Lite 2 ,ASICS,Fuji Lite 2 ,140.0,70.0,42.0
77,ASICS Fuji Lite 2 ,ASICS,Fuji Lite 2 ,140.0,70.0,42.0
78,ASICS Superblast ,ASICS,Superblast ,200.0,200.0,9.0
79,ASICS Metarun ,ASICS,Metarun ,180.0,94.0,62.0
80,ASICS Trail Scout 2 Lab test ,ASICS,Trail Scout 2 Lab test ,140.0,39.0,35.0
81,Brooks Hyperion ,Brooks,Hyperion ,100.0,116.0,11.0
